id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000037,SIN-00010,Denuncia policial,True,True,2025-10-17,False,Sin observaciones
DOC-000038,SIN-00011,Informe perito,True,True,2026-04-02,False,Sin observaciones
DOC-000039,SIN-00011,Factura taller,True,True,2026-03-29,False,Sin observaciones
DOC-000040,SIN-00011,Foto evidencia,True,True,2026-04-01,False,Sin observaciones
DOC-000041,SIN-00011,Cedula asegurado,True,True,2026-04-03,False,Sin observaciones
DOC-000042,SIN-00012,Foto evidencia,False,False,2025-01-12,True,Fecha previa al evento detectada
DOC-000043,SIN-00012,Cedula asegurado,False,False,2025-01-07,True,Fecha previa al evento detectada
DOC-000044,SIN-00013,Factura taller,True,True,2026-08-02,False,Sin observaciones
DOC-000045,SIN-00013,Informe perito,True,True,2026-08-01,False,Sin observaciones
DOC-000046,SIN-00013,Denuncia policial,True,True,2026-07-28,False,Sin observaciones
DOC-000047,SIN-00014,Denuncia policial,True,True,2026-02-18,False,Sin observaciones
DOC-000048,SIN-00014,Factura taller,True,True,2026-02-17,False,Sin observaciones
DOC-000049,SIN-00015,Foto evidencia,True,True,2026-08-13,False,Sin observaciones
DOC-000050,SIN-00015,Denuncia policial,True,True,2026-08-10,False,Sin observaciones
DOC-000051,SIN-00015,Factura taller,True,True,2026-08-13,False,Sin observaciones
DOC-000052,SIN-00016,Foto evidencia,True,True,2024-12-29,False,Sin observaciones
DOC-000053,SIN-00016,Factura taller,True,True,2024-12-28,False,Sin observaciones
DOC-000054,SIN-00016,Informe perito,True,True,2024-12-30,False,Sin observaciones
DOC-000055,SIN-00016,Cedula asegurado,True,True,2024-12-31,False,Sin observaciones
DOC-000056,SIN-00017,Factura taller,False,True,2025-04-09,False,Sin observaciones
DOC-000057,SIN-00017,Denuncia policial,False,True,2025-04-10,False,Sin observaciones
DOC-000058,SIN-00018,Foto evidencia,True,True,2025-07-23,False,Sin observaciones
DOC-000059,SIN-00018,Informe perito,True,True,2025-07-22,False,Sin observaciones
DOC-000060,SIN-00018,Factura taller,True,True,2025-07-24,False,Sin observaciones
DOC-000061,SIN-00018,Cedula asegurado,True,True,2025-07-25,False,Sin observaciones
DOC-000062,SIN-00019,Factura taller,False,True,2024-08-11,False,Sin observaciones
DOC-000063,SIN-00019,Foto evidencia,False,False,2024-08-09,True,Fecha previa al evento detectada
DOC-000064,SIN-00020,Cedula asegurado,True,True,2025-11-02,False,Sin observaciones
DOC-000065,SIN-00020,Denuncia policial,True,True,2025-10-30,False,Sin observaciones
DOC-000066,SIN-00020,Foto evidencia,True,True,2025-10-30,False,Sin observaciones
DOC-000067,SIN-00020,Factura taller,True,True,2025-10-31,False,Sin observaciones
DOC-000068,SIN-00021,Denuncia policial,True,True,2024-08-30,False,Sin observaciones
DOC-000069,SIN-00021,Foto evidencia,True,True,2024-09-02,False,Sin observaciones
DOC-000070,SIN-00021,Informe perito,True,True,2024-08-30,False,Sin observaciones
DOC-000071,SIN-00021,Factura taller,True,True,2024-09-03,False,Sin observaciones
DOC-000072,SIN-00021,Cedula asegurado,True,True,2024-08-31,False,Sin observaciones
DOC-000073,SIN-00022,Cedula asegurado,True,True,2026-04-03,False,Sin observaciones
DOC-000074,SIN-00022,Denuncia policial,True,True,2026-04-06,False,Sin observaciones
DOC-000075,SIN-00022,Informe perito,True,True,2026-04-03,False,Sin observaciones
DOC-000076,SIN-00022,Factura taller,True,True,2026-04-04,False,Sin observaciones
DOC-000077,SIN-00023,Denuncia policial,False,True,2025-11-26,False,Sin observaciones
DOC-000078,SIN-00023,Foto evidencia,False,True,2025-11-26,False,Sin observaciones
DOC-000079,SIN-00023,Informe perito,False,True,2025-11-27,False,Sin observaciones
DOC-000080,SIN-00023,Factura taller,False,True,2025-11-28,False,Sin observaciones
DOC-000081,SIN-00024,Foto evidencia,True,True,2026-06-29,False,Sin observaciones
DOC-000082,SIN-00024,Informe perito,True,True,2026-06-28,False,Sin observaciones
DOC-000083,SIN-00024,Denuncia policial,True,True,2026-06-30,False,Sin observaciones
DOC-000084,SIN-00024,Factura taller,True,True,2026-06-28,False,Sin observaciones
DOC-000085,SIN-00025,Foto evidencia,True,True,2026-05-22,False,Sin observaciones
DOC-000086,SIN-00025,Factura taller,True,True,2026-05-24,False,Sin observaciones
DOC-000087,SIN-00025,Cedula asegurado,True,True,2026-05-23,False,Sin observaciones
DOC-000088,SIN-00025,Denuncia policial,True,True,2026-05-21,False,Sin observaciones
DOC-000089,SIN-00025,Informe perito,True,True,2026-05-22,False,Sin observaciones
DOC-000090,SIN-00026,Factura taller,True,True,2025-09-18,False,Sin observaciones
DOC-000091,SIN-00026,Foto evidencia,True,True,2025-09-21,False,Sin observaciones
DOC-000092,SIN-00026,Cedula asegurado,True,True,2025-09-20,False,Sin observaciones
DOC-000093,SIN-00026,Informe perito,True,True,2025-09-19,False,Sin observaciones
DOC-000094,SIN-00026,Denuncia policial,True,True,2025-09-21,False,Sin observaciones
DOC-000095,SIN-00027,Cedula asegurado,True,True,2026-06-03,False,Sin observaciones
DOC-000096,SIN-00027,Factura taller,True,True,2026-06-02,False,Sin observaciones
DOC-000097,SIN-00027,Foto evidencia,True,True,2026-06-02,False,Sin observaciones
DOC-000098,SIN-00027,Denuncia policial,True,True,2026-06-03,False,Sin observaciones
DOC-000099,SIN-00028,Denuncia policial,True,True,2025-10-08,False,Sin observaciones
DOC-000100,SIN-00028,Foto evidencia,True,True,2025-10-08,False,Sin observaciones
DOC-000101,SIN-00028,Cedula asegurado,True,True,2025-10-06,False,Sin observaciones
DOC-000102,SIN-00029,Cedula asegurado,True,True,2025-08-31,False,Sin observaciones
DOC-000103,SIN-00029,Denuncia policial,True,True,2025-08-30,False,Sin observaciones
DOC-000104,SIN-00030,Factura taller,True,True,2025-01-13,False,Sin observaciones
DOC-000105,SIN-00030,Cedula asegurado,True,True,2025-01-12,False,Sin observaciones
DOC-000106,SIN-00030,Denuncia policial,True,True,2025-01-12,False,Sin observaciones
DOC-000107,SIN-00030,Informe perito,True,True,2025-01-13,False,Sin observaciones
DOC-000108,SIN-00030,Foto evidencia,True,True,2025-01-11,False,Sin observaciones
DOC-000109,SIN-00031,Informe perito,True,True,2025-01-27,False,Sin observaciones
DOC-000110,SIN-00031,Cedula asegurado,True,True,2025-01-27,False,Sin observaciones
DOC-000111,SIN-00031,Denuncia policial,True,True,2025-01-31,False,Sin observaciones
DOC-000112,SIN-00031,Foto evidencia,True,True,2025-01-30,False,Sin observaciones
DOC-000113,SIN-00031,Factura taller,True,True,2025-01-28,False,Sin observaciones
DOC-000114,SIN-00032,Denuncia policial,True,True,2025-06-14,False,Sin observaciones
DOC-000115,SIN-00032,Factura taller,True,True,2025-06-12,False,Sin observaciones
DOC-000116,SIN-00032,Foto evidencia,True,True,2025-06-10,False,Sin observaciones
DOC-000117,SIN-00032,Cedula asegurado,True,True,2025-06-13,False,Sin observaciones
DOC-000118,SIN-00033,Foto evidencia,False,True,2024-07-23,False,Sin observaciones
DOC-000119,SIN-00033,Informe perito,False,True,2024-07-18,False,Sin observaciones
DOC-000120,SIN-00033,Factura taller,False,True,2024-07-18,False,Sin observaciones
DOC-000121,SIN-00033,Denuncia policial,False,True,2024-07-22,False,Sin observaciones
DOC-000122,SIN-00034,Informe perito,False,False,2026-05-12,True,Fecha previa al evento detectada
DOC-000123,SIN-00034,Foto evidencia,False,True,2026-05-14,False,Sin observaciones
DOC-000124,SIN-00034,Factura taller,False,False,2026-05-13,True,Fecha previa al evento detectada
DOC-000125,SIN-00034,Denuncia policial,False,False,2026-05-13,True,Fecha previa al evento detectada
DOC-000126,SIN-00034,Cedula asegurado,False,True,2026-05-12,False,Sin observaciones
DOC-000127,SIN-00035,Cedula asegurado,True,True,2024-12-13,False,Sin observaciones
DOC-000128,SIN-00035,Informe perito,True,True,2024-12-10,False,Sin observaciones
DOC-000129,SIN-00035,Denuncia policial,True,True,2024-12-14,False,Sin observaciones
DOC-000130,SIN-00035,Foto evidencia,True,True,2024-12-14,False,Sin observaciones
DOC-000131,SIN-00035,Factura taller,True,True,2024-12-09,False,Sin observaciones
DOC-000132,SIN-00036,Foto evidencia,True,True,2025-08-28,False,Sin observaciones
DOC-000133,SIN-00036,Factura taller,True,True,2025-08-25,False,Sin observaciones
DOC-000134,SIN-00036,Cedula asegurado,True,True,2025-08-25,False,Sin observaciones
DOC-000135,SIN-00036,Denuncia policial,True,True,2025-08-29,False,Sin observaciones
DOC-000136,SIN-00036,Informe perito,True,True,2025-08-27,False,Sin observaciones
DOC-000137,SIN-00037,Denuncia policial,True,True,2027-01-17,False,Sin observaciones
DOC-000138,SIN-00037,Foto evidencia,True,True,2027-01-16,False,Sin observaciones
DOC-000139,SIN-00038,Informe perito,True,True,2025-05-10,False,Sin observaciones
DOC-000140,SIN-00038,Denuncia policial,True,True,2025-05-09,False,Sin observaciones
DOC-000141,SIN-00038,Foto evidencia,True,True,2025-05-07,False,Sin observaciones
DOC-000142,SIN-00038,Factura taller,True,True,2025-05-10,False,Sin observaciones
DOC-000143,SIN-00038,Cedula asegurado,True,True,2025-05-11,False,Sin observaciones
DOC-000144,SIN-00039,Informe perito,True,True,2025-06-28,False,Sin observaciones
DOC-000145,SIN-00039,Denuncia policial,True,True,2025-06-27,False,Sin observaciones
DOC-000146,SIN-00039,Factura taller,True,True,2025-06-25,False,Sin observaciones
DOC-000147,SIN-00040,Cedula asegurado,True,True,2027-02-19,False,Sin observaciones
DOC-000148,SIN-00040,Foto evidencia,True,True,2027-02-19,False,Sin observaciones
DOC-000149,SIN-00040,Denuncia policial,True,True,2027-02-20,False,Sin observaciones
DOC-000150,SIN-00041,Foto evidencia,False,False,2024-08-29,True,Fecha previa al evento detectada
DOC-000151,SIN-00041,Cedula asegurado,False,True,2024-08-29,False,Sin observaciones
DOC-000152,SIN-00041,Denuncia policial,False,True,2024-08-25,False,Sin observaciones
DOC-000153,SIN-00041,Informe perito,False,False,2024-08-28,True,Fecha previa al evento detectada
DOC-000154,SIN-00041,Factura taller,False,False,2024-08-25,True,Fecha previa al evento detectada
DOC-000155,SIN-00042,Denuncia policial,True,True,2025-12-21,False,Sin observaciones
DOC-000156,SIN-00042,Foto evidencia,True,True,2025-12-22,False,Sin observaciones
DOC-000157,SIN-00042,Factura taller,True,True,2025-12-23,False,Sin observaciones
DOC-000158,SIN-00042,Cedula asegurado,True,True,2025-12-23,False,Sin observaciones
DOC-000159,SIN-00043,Factura taller,True,True,2025-01-13,False,Sin observaciones
DOC-000160,SIN-00043,Denuncia policial,True,True,2025-01-13,False,Sin observaciones
DOC-000161,SIN-00043,Informe perito,True,True,2025-01-15,False,Sin observaciones
DOC-000162,SIN-00044,Informe perito,False,True,2025-08-03,False,Sin observaciones
DOC-000163,SIN-00044,Factura taller,False,True,2025-08-06,False,Sin observaciones
DOC-000164,SIN-00044,Denuncia policial,False,True,2025-08-04,False,Sin observaciones
DOC-000165,SIN-00044,Foto evidencia,False,False,2025-08-03,True,Fecha previa al evento detectada
DOC-000166,SIN-00044,Cedula asegurado,False,False,2025-08-06,True,Fecha previa al evento detectada
DOC-000167,SIN-00045,Foto evidencia,True,True,2025-07-23,False,Sin observaciones
DOC-000168,SIN-00045,Cedula asegurado,True,True,2025-07-19,False,Sin observaciones
DOC-000169,SIN-00045,Denuncia policial,True,True,2025-07-21,False,Sin observaciones
DOC-000170,SIN-00046,Factura taller,True,True,2026-06-20,False,Sin observaciones
DOC-000171,SIN-00046,Informe perito,True,True,2026-06-21,False,Sin observaciones
DOC-000172,SIN-00046,Denuncia policial,True,True,2026-06-22,False,Sin observaciones
DOC-000173,SIN-00047,Cedula asegurado,True,True,2025-10-06,False,Sin observaciones
DOC-000174,SIN-00047,Denuncia policial,True,True,2025-10-01,False,Sin observaciones
DOC-000175,SIN-00047,Informe perito,True,True,2025-10-01,False,Sin observaciones
DOC-000176,SIN-00047,Foto evidencia,True,True,2025-10-03,False,Sin observaciones
DOC-000177,SIN-00048,Informe perito,True,True,2027-02-04,False,Sin observaciones
DOC-000178,SIN-00048,Factura taller,True,True,2027-01-30,False,Sin observaciones
DOC-000179,SIN-00048,Denuncia policial,True,True,2027-01-31,False,Sin observaciones
DOC-000180,SIN-00048,Cedula asegurado,True,True,2027-02-02,False,Sin observaciones
DOC-000181,SIN-00049,Informe perito,True,True,2025-11-30,False,Sin observaciones
DOC-000182,SIN-00049,Cedula asegurado,True,True,2025-11-29,False,Sin observaciones
DOC-000183,SIN-00049,Foto evidencia,True,True,2025-11-29,False,Sin observaciones
DOC-000184,SIN-00049,Factura taller,True,True,2025-11-30,False,Sin observaciones
DOC-000185,SIN-00049,Denuncia policial,True,True,2025-11-29,False,Sin observaciones
DOC-000186,SIN-00050,Informe perito,True,True,2027-01-15,False,Sin observaciones
DOC-000187,SIN-00050,Foto evidencia,True,True,2027-01-13,False,Sin observaciones
DOC-000188,SIN-00051,Denuncia policial,False,True,2024-09-03,False,Sin observaciones
DOC-000189,SIN-00051,Cedula asegurado,False,True,2024-09-02,False,Sin observaciones
DOC-000190,SIN-00051,Informe perito,False,True,2024-09-04,False,Sin observaciones
DOC-000191,SIN-00051,Factura taller,False,False,2024-09-03,True,Fecha previa al evento detectada
DOC-000192,SIN-00052,Cedula asegurado,False,True,2025-02-22,False,Sin observaciones
DOC-000193,SIN-00052,Informe perito,False,True,2025-02-21,False,Sin observaciones
DOC-000194,SIN-00052,Factura taller,False,True,2025-02-18,False,Sin observaciones
DOC-000195,SIN-00052,Foto evidencia,False,True,2025-02-22,False,Sin observaciones
DOC-000196,SIN-00052,Denuncia policial,False,True,2025-02-20,False,Sin observaciones
DOC-000197,SIN-00053,Factura taller,False,True,2024-06-23,False,Sin observaciones
DOC-000198,SIN-00053,Cedula asegurado,False,True,2024-06-23,False,Sin observaciones
DOC-000199,SIN-00053,Foto evidencia,False,True,2024-06-23,False,Sin observaciones
DOC-000200,SIN-00053,Denuncia policial,False,True,2024-06-23,False,Sin observaciones
DOC-000201,SIN-00053,Informe perito,False,True,2024-06-20,False,Sin observaciones
DOC-000202,SIN-00054,Factura taller,True,True,2025-09-30,False,Sin observaciones
DOC-000203,SIN-00054,Denuncia policial,True,True,2025-09-29,False,Sin observaciones
DOC-000204,SIN-00054,Foto evidencia,True,True,2025-10-02,False,Sin observaciones
DOC-000205,SIN-00055,Denuncia policial,True,True,2025-11-30,False,Sin observaciones
DOC-000206,SIN-00055,Foto evidencia,True,True,2025-12-03,False,Sin observaciones
DOC-000207,SIN-00056,Denuncia policial,True,True,2026-02-09,False,Sin observaciones
DOC-000208,SIN-00056,Factura taller,True,True,2026-02-10,False,Sin observaciones
DOC-000209,SIN-00056,Informe perito,True,True,2026-02-09,False,Sin observaciones
DOC-000210,SIN-00056,Foto evidencia,True,True,2026-02-07,False,Sin observaciones
DOC-000211,SIN-00056,Cedula asegurado,True,True,2026-02-07,False,Sin observaciones
DOC-000212,SIN-00057,Factura taller,True,True,2025-07-22,False,Sin observaciones
DOC-000213,SIN-00057,Foto evidencia,True,True,2025-07-20,False,Sin observaciones
DOC-000214,SIN-00057,Denuncia policial,True,True,2025-07-20,False,Sin observaciones
DOC-000215,SIN-00058,Informe perito,True,True,2025-09-05,False,Sin observaciones
DOC-000216,SIN-00058,Cedula asegurado,True,True,2025-09-07,False,Sin observaciones
DOC-000217,SIN-00059,Denuncia policial,False,True,2024-06-14,False,Sin observaciones
DOC-000218,SIN-00059,Informe perito,False,True,2024-06-16,False,Sin observaciones
DOC-000219,SIN-00059,Foto evidencia,False,True,2024-06-16,False,Sin observaciones
DOC-000220,SIN-00059,Cedula asegurado,False,True,2024-06-14,False,Sin observaciones
DOC-000221,SIN-00060,Factura taller,True,True,2026-09-15,False,Sin observaciones
DOC-000222,SIN-00060,Denuncia policial,True,True,2026-09-17,False,Sin observaciones
DOC-000223,SIN-00060,Informe perito,True,True,2026-09-14,False,Sin observaciones
DOC-000224,SIN-00060,Cedula asegurado,True,True,2026-09-18,False,Sin observaciones
DOC-000225,SIN-00061,Cedula asegurado,True,True,2025-05-03,False,Sin observaciones
DOC-000226,SIN-00061,Informe perito,True,True,2025-05-08,False,Sin observaciones
DOC-000227,SIN-00061,Denuncia policial,True,True,2025-05-05,False,Sin observaciones
DOC-000228,SIN-00061,Foto evidencia,True,True,2025-05-06,False,Sin observaciones
DOC-000229,SIN-00062,Cedula asegurado,True,True,2026-03-26,False,Sin observaciones
DOC-000230,SIN-00062,Factura taller,True,True,2026-03-25,False,Sin observaciones
DOC-000231,SIN-00062,Foto evidencia,True,True,2026-03-21,False,Sin observaciones
DOC-000232,SIN-00062,Informe perito,True,True,2026-03-23,False,Sin observaciones
DOC-000233,SIN-00063,Cedula asegurado,False,True,2026-01-16,False,Sin observaciones
DOC-000234,SIN-00063,Foto evidencia,False,True,2026-01-18,False,Sin observaciones
DOC-000235,SIN-00063,Informe perito,False,True,2026-01-18,False,Sin observaciones
DOC-000236,SIN-00063,Factura taller,False,True,2026-01-20,False,Sin observaciones
DOC-000237,SIN-00064,Denuncia policial,True,True,2026-07-24,False,Sin observaciones
DOC-000238,SIN-00064,Foto evidencia,True,True,2026-07-22,False,Sin observaciones
DOC-000239,SIN-00064,Cedula asegurado,True,True,2026-07-24,False,Sin observaciones
DOC-000240,SIN-00064,Informe perito,True,True,2026-07-26,False,Sin observaciones
DOC-000241,SIN-00065,Informe perito,False,False,2025-03-30,True,Fecha previa al evento detectada
DOC-000242,SIN-00065,Factura taller,False,False,2025-04-03,True,Fecha previa al evento detectada
DOC-000243,SIN-00065,Denuncia policial,False,False,2025-03-30,True,Fecha previa al evento detectada
DOC-000244,SIN-00065,Foto evidencia,False,False,2025-03-31,True,Fecha previa al evento detectada
DOC-000245,SIN-00066,Cedula asegurado,True,True,2026-06-24,False,Sin observaciones
DOC-000246,SIN-00066,Foto evidencia,True,True,2026-06-26,False,Sin observaciones
DOC-000247,SIN-00067,Cedula asegurado,True,True,2026-06-02,False,Sin observaciones
DOC-000248,SIN-00067,Denuncia policial,True,True,2026-05-30,False,Sin observaciones
DOC-000249,SIN-00068,Factura taller,True,True,2025-03-08,False,Sin observaciones
DOC-000250,SIN-00068,Cedula asegurado,True,True,2025-03-04,False,Sin observaciones
DOC-000251,SIN-00068,Informe perito,True,True,2025-03-04,False,Sin observaciones
DOC-000252,SIN-00068,Foto evidencia,True,True,2025-03-06,False,Sin observaciones
DOC-000253,SIN-00069,Denuncia policial,True,True,2025-02-08,False,Sin observaciones
DOC-000254,SIN-00069,Factura taller,True,True,2025-02-09,False,Sin observaciones
DOC-000255,SIN-00070,Foto evidencia,True,True,2026-08-29,False,Sin observaciones
DOC-000256,SIN-00070,Denuncia policial,True,True,2026-08-30,False,Sin observaciones
DOC-000257,SIN-00070,Factura taller,True,True,2026-08-30,False,Sin observaciones
DOC-000258,SIN-00070,Cedula asegurado,True,True,2026-08-29,False,Sin observaciones
DOC-000259,SIN-00071,Denuncia policial,False,True,2025-05-29,False,Sin observaciones
DOC-000260,SIN-00071,Foto evidencia,False,True,2025-05-27,False,Sin observaciones
DOC-000261,SIN-00071,Informe perito,False,True,2025-05-27,False,Sin observaciones
DOC-000262,SIN-00071,Cedula asegurado,False,True,2025-05-26,False,Sin observaciones
DOC-000263,SIN-00071,Factura taller,False,True,2025-05-31,False,Sin observaciones
DOC-000264,SIN-00072,Cedula asegurado,True,True,2025-09-06,False,Sin observaciones
DOC-000265,SIN-00072,Foto evidencia,True,True,2025-09-08,False,Sin observaciones
DOC-000266,SIN-00072,Denuncia policial,True,True,2025-09-05,False,Sin observaciones
DOC-000267,SIN-00072,Informe perito,True,True,2025-09-09,False,Sin observaciones
DOC-000268,SIN-00072,Factura taller,True,True,2025-09-10,False,Sin observaciones
DOC-000269,SIN-00073,Denuncia policial,True,True,2025-03-10,False,Sin observaciones
DOC-000270,SIN-00073,Foto evidencia,True,True,2025-03-06,False,Sin observaciones
DOC-000271,SIN-00073,Informe perito,True,True,2025-03-07,False,Sin observaciones
DOC-000272,SIN-00073,Cedula asegurado,True,True,2025-03-09,False,Sin observaciones
DOC-000273,SIN-00074,Cedula asegurado,True,True,2025-12-04,False,Sin observaciones
DOC-000274,SIN-00074,Informe perito,True,True,2025-12-05,False,Sin observaciones
DOC-000275,SIN-00074,Denuncia policial,True,True,2025-12-08,False,Sin observaciones
DOC-000276,SIN-00074,Foto evidencia,True,True,2025-12-08,False,Sin observaciones
DOC-000277,SIN-00074,Factura taller,True,True,2025-12-03,False,Sin observaciones
DOC-000278,SIN-00075,Foto evidencia,True,True,2026-02-24,False,Sin observaciones
DOC-000279,SIN-00075,Denuncia policial,True,True,2026-02-23,False,Sin observaciones
DOC-000280,SIN-00076,Denuncia policial,True,True,2025-10-30,False,Sin observaciones
DOC-000281,SIN-00076,Informe perito,True,True,2025-10-30,False,Sin observaciones
DOC-000282,SIN-00076,Foto evidencia,True,True,2025-10-28,False,Sin observaciones
DOC-000283,SIN-00077,Denuncia policial,False,True,2025-08-28,False,Sin observaciones
DOC-000284,SIN-00077,Factura taller,False,True,2025-08-27,False,Sin observaciones
DOC-000285,SIN-00077,Informe perito,False,True,2025-08-26,False,Sin observaciones
DOC-000286,SIN-00078,Informe perito,True,True,2025-05-31,False,Sin observaciones
DOC-000287,SIN-00078,Foto evidencia,True,True,2025-06-01,False,Sin observaciones
DOC-000288,SIN-00079,Foto evidencia,True,True,2026-04-02,False,Sin observaciones
DOC-000289,SIN-00079,Factura taller,True,True,2026-04-04,False,Sin observaciones
DOC-000290,SIN-00080,Foto evidencia,True,True,2024-12-23,False,Sin observaciones
DOC-000291,SIN-00080,Cedula asegurado,True,True,2024-12-19,False,Sin observaciones
DOC-000292,SIN-00081,Foto evidencia,False,True,2025-01-22,False,Sin observaciones
DOC-000293,SIN-00081,Denuncia policial,False,True,2025-01-22,False,Sin observaciones
DOC-000294,SIN-00082,Informe perito,False,True,2024-09-17,False,Sin observaciones
DOC-000295,SIN-00082,Foto evidencia,False,True,2024-09-20,False,Sin observaciones
DOC-000296,SIN-00083,Cedula asegurado,True,True,2025-01-24,False,Sin observaciones
DOC-000297,SIN-00083,Informe perito,True,True,2025-01-24,False,Sin observaciones
DOC-000298,SIN-00083,Foto evidencia,True,True,2025-01-20,False,Sin observaciones
DOC-000299,SIN-00083,Denuncia policial,True,True,2025-01-19,False,Sin observaciones
DOC-000300,SIN-00083,Factura taller,True,True,2025-01-24,False,Sin observaciones
DOC-000301,SIN-00084,Informe perito,True,True,2026-08-20,False,Sin observaciones
DOC-000302,SIN-00084,Foto evidencia,True,True,2026-08-23,False,Sin observaciones
DOC-000303,SIN-00084,Cedula asegurado,True,True,2026-08-23,False,Sin observaciones
DOC-000304,SIN-00085,Informe perito,False,False,2026-05-24,True,Fecha previa al evento detectada
DOC-000305,SIN-00085,Factura taller,False,False,2026-05-24,True,Fecha previa al evento detectada
DOC-000306,SIN-00085,Denuncia policial,False,True,2026-05-25,False,Sin observaciones
DOC-000307,SIN-00085,Cedula asegurado,False,True,2026-05-25,False,Sin observaciones
DOC-000308,SIN-00085,Foto evidencia,False,False,2026-05-27,True,Fecha previa al evento detectada
DOC-000309,SIN-00086,Factura taller,True,True,2025-10-14,False,Sin observaciones
DOC-000310,SIN-00086,Foto evidencia,True,True,2025-10-14,False,Sin observaciones
DOC-000311,SIN-00086,Denuncia policial,True,True,2025-10-12,False,Sin observaciones
DOC-000312,SIN-00086,Informe perito,True,True,2025-10-14,False,Sin observaciones
DOC-000313,SIN-00086,Cedula asegurado,True,True,2025-10-10,False,Sin observaciones
DOC-000314,SIN-00087,Cedula asegurado,True,True,2024-10-16,False,Sin observaciones
DOC-000315,SIN-00087,Factura taller,True,True,2024-10-15,False,Sin observaciones
DOC-000316,SIN-00087,Denuncia policial,True,True,2024-10-14,False,Sin observaciones
DOC-000317,SIN-00087,Informe perito,True,True,2024-10-16,False,Sin observaciones
DOC-000318,SIN-00088,Denuncia policial,True,True,2025-03-12,False,Sin observaciones
DOC-000319,SIN-00088,Factura taller,True,True,2025-03-12,False,Sin observaciones
DOC-000320,SIN-00089,Informe perito,True,True,2026-01-03,False,Sin observaciones
DOC-000321,SIN-00089,Factura taller,True,True,2026-01-06,False,Sin observaciones
DOC-000322,SIN-00089,Denuncia policial,True,True,2026-01-07,False,Sin observaciones
DOC-000323,SIN-00090,Cedula asegurado,True,True,2025-04-01,False,Sin observaciones
DOC-000324,SIN-00090,Foto evidencia,True,True,2025-03-31,False,Sin observaciones
