id_vehiculo,id_siniestro,placa,chasis,motor,marca,modelo,anio
VEH-00049,SIN-00049,G569D300,iLn514953331Yubr,JHm9843,Kia,Sorento,2023
VEH-00050,SIN-00050,B269E322,wnd145106201QNKn,Dja5213,Hyundai,Santa Fe,2022
VEH-00051,SIN-00051,C409K906,NKS701411471hSYQ,Hsk7394,Kia,Sorento,2018
VEH-00052,SIN-00052,R534G844,YwT303166535Uola,jdC5482,Chevrolet,D-Max,2012
VEH-00053,SIN-00053,D173Q526,mrg691490553hOlF,HTO1625,Hyundai,Accent,2022
VEH-00054,SIN-00054,F741D483,FMN479404569fgyM,Fer3129,Hyundai,Tucson,2016
VEH-00055,SIN-00055,H215N644,RPQ156133887dpyL,Sun0543,Mazda,2,2015
VEH-00056,SIN-00056,J590A961,Eqa778352391HUhL,LDE8749,Kia,Picanto,2018
VEH-00057,SIN-00057,N651N707,qEy710823036zsAC,aIQ6901,Hyundai,Elantra,2012
VEH-00058,SIN-00058,N664H103,Bbl505499092WXjS,HNb3039,Chevrolet,Spark,2016
VEH-00059,SIN-00059,H598H511,ApV398868292SpsK,ZyU7683,Mazda,CX-5,2023
VEH-00060,SIN-00060,M690F864,XEU279636932ZQvw,ktY9870,Toyota,Hilux,2024
VEH-00061,SIN-00061,D777F594,wzt050536928IZSS,OLG3377,Nissan,Versa,2018
VEH-00062,SIN-00062,H386C144,TJY107740590xeKq,UTa9261,Hyundai,Santa Fe,2012
VEH-00063,SIN-00063,E692D183,JWV861803396VglV,rno4691,Kia,Sorento,2014
VEH-00064,SIN-00064,F387R227,JmF100887150iTvW,Aeg0328,Chevrolet,D-Max,2012
VEH-00065,SIN-00065,D557N767,Ymo714996883MQVy,NfG9575,Toyota,Corolla,2019
VEH-00066,SIN-00066,Q638J952,xot667024626xIMV,xbl2521,Hyundai,Elantra,2016
VEH-00067,SIN-00067,Q739B423,MXI826792395mMYK,FmG4140,Mazda,CX-5,2014
VEH-00068,SIN-00068,R227D385,rtp342785120fNjd,arl7697,Toyota,Yaris,2024
VEH-00069,SIN-00069,P464D666,AMA641735893QYdB,ZvU6002,Hyundai,Accent,2012
VEH-00070,SIN-00070,C604G747,xDx331381455YNSp,kBJ0750,Kia,Picanto,2018
VEH-00071,SIN-00071,D517G948,eYC315087848TXhK,nZm1095,Chevrolet,Spark,2014
VEH-00072,SIN-00072,Q475M559,kaE425815325YMFP,igr0634,Mazda,CX-5,2023
VEH-00073,SIN-00073,D528K723,LRm696317649Xtnw,Fvc4836,Kia,Sorento,2015
VEH-00074,SIN-00074,C190G638,HfM443154543GadA,TnY2642,Kia,Rio,2018
VEH-00075,SIN-00075,F814B216,mDS159108234ACRo,bXS0597,Mazda,CX-5,2022
VEH-00076,SIN-00076,R178P605,nyH209635855SOPx,qwk0212,Toyota,RAV4,2015
VEH-00077,SIN-00077,F217N327,pFn097287275XcTj,QLT2348,Nissan,Kicks,2018
VEH-00078,SIN-00078,H178R728,SXq149111467IVkj,scA3535,Toyota,RAV4,2016
VEH-00079,SIN-00079,B872B417,mzA197498565tUOU,KZr7322,Mazda,3,2015
VEH-00080,SIN-00080,F715M867,eWI096627328ihjg,yiU1366,Kia,Picanto,2017
VEH-00081,SIN-00081,L615H449,pIy359218667lruw,BIr6539,Mazda,2,2015
VEH-00082,SIN-00082,D256R971,fEj598775718gGNG,oEE2041,Nissan,Frontier,2023
VEH-00083,SIN-00083,E248L895,yxA014988249anoE,kXr6352,Chevrolet,Captiva,2013
VEH-00084,SIN-00084,J171F430,ifh676467105VTRh,ojk9811,Kia,Rio,2022
VEH-00085,SIN-00085,J952R988,JnA517001397Igud,mHc5526,Nissan,Sentra,2014
VEH-00086,SIN-00086,F823G515,oeh123968047aEih,hkf7330,Toyota,Corolla,2013
VEH-00087,SIN-00087,N338J466,xFO854521653Mlgy,ySM7721,Nissan,Frontier,2013
VEH-00088,SIN-00088,J425H196,CKV672554428onwv,tUW8447,Chevrolet,Captiva,2018
VEH-00089,SIN-00089,B717H108,oSM521668753Xzlt,dkO2277,Chevrolet,Aveo,2021
VEH-00090,SIN-00090,L893B766,rmu834750455AxHX,rIV6471,Kia,Sorento,2023
VEH-00091,SIN-00091,K471Q238,inr682947013XYEv,GXw7733,Nissan,Frontier,2023
VEH-00092,SIN-00092,F819D571,sJX471632645fYZh,qLj6007,Toyota,Yaris,2022
VEH-00093,SIN-00093,L766C528,htE128639860RBEL,Qpj4614,Chevrolet,Aveo,2020
VEH-00094,SIN-00094,C998G320,xXt230567925hlUv,Cyq6829,Toyota,Yaris,2015
VEH-00095,SIN-00095,Q129R809,lrj401417455bMhK,HYl1398,Kia,Sportage,2013
VEH-00096,SIN-00096,H823K111,mxi534983425kKUE,LIw3211,Kia,Sportage,2016
VEH-00097,SIN-00097,F761F852,yEd050159145GYrH,sxA7544,Chevrolet,Captiva,2013
VEH-00098,SIN-00098,H930B521,axi219110706wWAG,iTt3674,Nissan,Kicks,2014
VEH-00099,SIN-00099,H544L415,gBK770682131gLlP,yMw6886,Nissan,Versa,2013
VEH-00100,SIN-00100,D764K397,Apm123715408DiLF,npM9185,Mazda,BT-50,2014
VEH-00101,SIN-00101,J259A261,vyw886125996pQjV,LiV8766,Hyundai,Santa Fe,2015
VEH-00102,SIN-00102,A814K549,IXl113125865NnXX,odc8000,Hyundai,Elantra,2017
VEH-00103,SIN-00103,C220P773,Roe823054785crWQ,uwi0650,Nissan,Versa,2017
VEH-00104,SIN-00104,J108K205,njJ263270470OfGx,Blh2054,Kia,Picanto,2019
VEH-00105,SIN-00105,G735C297,kBj569566311EYNp,Xqt9047,Hyundai,Elantra,2012
VEH-00106,SIN-00106,K950E407,MjT874799216vnyv,DDv3264,Hyundai,Santa Fe,2013
VEH-00107,SIN-00107,B620F494,kBj299374807MIOV,dNr2594,Nissan,Versa,2022
VEH-00108,SIN-00108,A758G425,nIN467112512lBXO,cBO1661,Toyota,Yaris,2017
VEH-00109,SIN-00109,J285F136,Vzz146154013qKhs,lCW0562,Mazda,CX-5,2015
VEH-00110,SIN-00110,N828N543,fgJ338169848fckG,ncc3658,Kia,Sorento,2021
VEH-00111,SIN-00111,F683M339,dDc073935369ekBZ,LDi8322,Chevrolet,D-Max,2020
VEH-00112,SIN-00112,C682J195,VqL010235373LHFn,Kdn2813,Kia,Rio,2022
VEH-00113,SIN-00113,G723A955,BSs866888836TQuF,ldb0738,Mazda,CX-5,2024
VEH-00114,SIN-00114,E387E401,Oms671018011TQIK,XUW7652,Hyundai,Accent,2018
VEH-00115,SIN-00115,F624G376,sPb835378590Umjg,RJe2886,Kia,Sorento,2015
VEH-00116,SIN-00116,K790H343,dKu316307533MEpI,SOV3177,Chevrolet,Captiva,2015
VEH-00117,SIN-00117,M204N546,WKF380459273qSlZ,gFQ9380,Kia,Picanto,2023
VEH-00118,SIN-00118,P894M931,pht583873139vXpw,Fnv2119,Toyota,RAV4,2014
VEH-00119,SIN-00119,H844F492,GjU558503438UyUB,oEf4374,Hyundai,Tucson,2020
VEH-00120,SIN-00120,L121Q375,Pde329182315dBlm,FJf7486,Hyundai,Tucson,2017
VEH-00121,SIN-00121,M267M723,Sla260015553qSMa,rVj7495,Toyota,RAV4,2019
VEH-00122,SIN-00122,A354P926,mzn390439964kPUP,JDH8527,Nissan,Sentra,2016
VEH-00123,SIN-00123,G430D959,pdM416206611rVwv,WOb1493,Hyundai,Elantra,2018
VEH-00124,SIN-00124,B364Q227,rXC302065463BAou,tRm3163,Hyundai,Tucson,2012
VEH-00125,SIN-00125,L380E663,Zbz849778143ADHC,HvI6682,Toyota,Yaris,2015
VEH-00126,SIN-00126,K857N782,HYp817106503SCyz,qGa9110,Hyundai,Elantra,2020
VEH-00127,SIN-00127,P560J567,PWZ841146976aPCZ,eQQ6917,Kia,Rio,2018
VEH-00128,SIN-00128,D568A993,bvD378001425WoMC,LDx5906,Nissan,Sentra,2021
VEH-00129,SIN-00129,C966J736,cfG723256862cMYy,aWf3521,Toyota,Yaris,2013
VEH-00130,SIN-00130,A876G917,TlK644624903LbkV,QPb5839,Toyota,RAV4,2024
VEH-00131,SIN-00131,Q205L501,lNr875080671pLUR,JDw8327,Nissan,Sentra,2017
VEH-00132,SIN-00132,P845L100,rPm411355466lYGe,EEp3533,Kia,Picanto,2013
VEH-00133,SIN-00133,P120D493,jXP843527459DLEJ,OYb0163,Mazda,2,2022
VEH-00134,SIN-00134,J676F309,Srv175089392aMWm,tEk5989,Hyundai,Santa Fe,2023
VEH-00135,SIN-00135,M725P689,zyI786270626NoFs,sAB9088,Chevrolet,Captiva,2012
VEH-00136,SIN-00136,L877A761,siX578470224QjmJ,DNW2801,Hyundai,Santa Fe,2024
VEH-00137,SIN-00137,P977H596,xtr520895794Xnid,XXm3610,Kia,Picanto,2016
VEH-00138,SIN-00138,E944J282,bou310940155oLvw,DVU8889,Toyota,Yaris,2013
VEH-00139,SIN-00139,F439Q227,EUg956648331MDWA,RrH2487,Kia,Picanto,2012
VEH-00140,SIN-00140,L157H651,XrQ999245721ilLk,iqA8254,Chevrolet,Captiva,2023
VEH-00141,SIN-00141,P862F873,lZQ090948522jDGd,IwJ9944,Kia,Sorento,2016
VEH-00142,SIN-00142,C744P878,FCw156035736fzVE,dEh7850,Mazda,CX-5,2020
VEH-00143,SIN-00143,K686H876,ESW461046239aTFb,WHE9989,Nissan,Sentra,2020
VEH-00144,SIN-00144,N300L624,XFJ407590249TMrd,QBd1038,Toyota,RAV4,2015
VEH-00145,SIN-00145,C122C970,wGi654254396DgrZ,eGj8858,Toyota,Hilux,2019
VEH-00146,SIN-00146,N715L186,qtt222046206suLq,inV9520,Mazda,CX-5,2012
VEH-00147,SIN-00147,M250R570,ngm273043940UmUO,yDB2853,Hyundai,Santa Fe,2020
VEH-00148,SIN-00148,R149G496,XgX032816151Goge,EeH5443,Kia,Picanto,2018
VEH-00149,SIN-00149,B298P320,jmZ847973722RlNi,hbi4149,Chevrolet,Captiva,2016
VEH-00150,SIN-00150,K316J512,JlS020293362inuJ,Nra2146,Nissan,Sentra,2023
VEH-00151,SIN-00151,H338D650,iTt540960613tdRB,rmt2460,Nissan,Versa,2022
VEH-00152,SIN-00152,G327M550,QTE972165119Cwjq,vTD7963,Chevrolet,Aveo,2013
VEH-00153,SIN-00153,B559H958,FwG715557062VUwS,oAL7946,Kia,Rio,2019
VEH-00154,SIN-00154,J987M572,SXt797677455BaiW,Vdm7278,Hyundai,Elantra,2018
VEH-00155,SIN-00155,P239N350,XNz688699000eUYI,SOM0060,Chevrolet,Aveo,2019
VEH-00156,SIN-00156,L813B621,EED671717131YFys,wrM7106,Mazda,2,2019
VEH-00157,SIN-00157,R891M727,YMH261898657qeLe,vtj1125,Hyundai,Santa Fe,2022
VEH-00158,SIN-00158,H392L241,VIy110357497yHTw,vjI4238,Hyundai,Santa Fe,2015
VEH-00159,SIN-00159,Q906J999,ykB178552775edns,iaG7491,Kia,Rio,2024
VEH-00160,SIN-00160,R498Q529,TpX755778630KRBl,vBt9436,Chevrolet,Aveo,2016
VEH-00161,SIN-00161,J993E123,lMa056758611CNqQ,zRa1530,Toyota,Yaris,2018
VEH-00162,SIN-00162,M182K711,elD474213295kjCO,djH1851,Kia,Sorento,2017
VEH-00163,SIN-00163,K190C424,FWF343837294PPYA,CVT8367,Chevrolet,Aveo,2024
VEH-00164,SIN-00164,G160B907,mUS735498702qQFr,rJW9054,Chevrolet,Spark,2022
VEH-00165,SIN-00165,B684J856,qXd655122199Kzlj,bsE8772,Nissan,Versa,2024
VEH-00166,SIN-00166,M507M843,BZw853459582ezfa,LUy2675,Kia,Sportage,2015
VEH-00167,SIN-00167,K839J451,AWD660834610Cmvf,VEM2112,Nissan,Kicks,2020
VEH-00168,SIN-00168,P474H450,Nox326584798KaEA,WDJ2677,Hyundai,Tucson,2015
VEH-00169,SIN-00169,E521P132,xQy929780069GWSi,tea6214,Nissan,Versa,2012
VEH-00170,SIN-00170,Q129C171,qvP027680797DNRS,Yuv3531,Hyundai,Accent,2023
VEH-00171,SIN-00171,K698M944,eFB032800689IMsw,tiv1614,Chevrolet,Aveo,2013
VEH-00172,SIN-00172,N953L182,QbP803391066rdJu,kNt8757,Toyota,Corolla,2020
VEH-00173,SIN-00173,L614G866,QLi349016319cBAg,WMQ6289,Toyota,Yaris,2024
VEH-00174,SIN-00174,N536C419,Zhf188833854cFAs,ZBp5220,Hyundai,Santa Fe,2019
VEH-00175,SIN-00175,P195P623,xRx273380145PWRm,Bgt5974,Kia,Sorento,2022
VEH-00176,SIN-00176,J837Q850,kfm233749666ciFU,LMP2361,Toyota,Yaris,2018
VEH-00177,SIN-00177,N660E825,WAf122008723zQap,viL3402,Nissan,Versa,2023
VEH-00178,SIN-00178,E477N451,zqV491493562FQxn,zNh4110,Hyundai,Santa Fe,2012
VEH-00179,SIN-00179,C382F818,dRA407711690JnrB,txy9028,Mazda,CX-5,2023
VEH-00180,SIN-00180,A847F688,Vzo197136377uZQy,zRX2816,Chevrolet,D-Max,2019
VEH-00181,SIN-00181,K975A423,uIB654627933BKpT,TDe7578,Kia,Picanto,2019
VEH-00182,SIN-00182,H738P278,uTG831502804gnKV,MnT8449,Nissan,Kicks,2013
VEH-00183,SIN-00183,B463C321,cXn414544231WDNG,fNw0231,Hyundai,Accent,2020
VEH-00184,SIN-00184,N133K596,dpE504020339FnGT,dsH8175,Kia,Picanto,2019
VEH-00185,SIN-00185,G665C359,lTq465777523ELPv,bOt0483,Chevrolet,Aveo,2023
VEH-00186,SIN-00186,L271J566,MYv952771176WOUe,pmD4849,Nissan,Frontier,2016
VEH-00187,SIN-00187,A292L720,XOF603997119WcUb,xpd8491,Chevrolet,Captiva,2016
VEH-00188,SIN-00188,A864F839,Qbk025232247bmfM,Fnx3157,Toyota,Hilux,2024
VEH-00189,SIN-00189,R760H958,uFP200176700XTVl,crN9357,Mazda,BT-50,2013
VEH-00190,SIN-00190,P523K987,tBp521632036NkOH,JcS1670,Mazda,2,2019
VEH-00191,SIN-00191,D308C308,ObN004416678xEdx,ZNa0815,Hyundai,Santa Fe,2013
VEH-00192,SIN-00192,G108E463,krf595233291teEt,yms3962,Mazda,BT-50,2015
VEH-00193,SIN-00193,P890L647,dig008310507fhmO,FPV4810,Hyundai,Accent,2017
VEH-00194,SIN-00194,M753F810,qeP764630792XTVs,NWm2876,Chevrolet,Spark,2019
VEH-00195,SIN-00195,L451B928,OVm096232017HLxm,kex7302,Mazda,BT-50,2023
VEH-00196,SIN-00196,C274N438,HBX754229635cCyl,jZA6087,Nissan,Frontier,2024
VEH-00197,SIN-00197,D485Q453,jxu132344447BzRB,Cht2577,Mazda,CX-5,2015
VEH-00198,SIN-00198,G974D701,ZwG658892404hbaf,MxL0384,Mazda,CX-5,2016
VEH-00199,SIN-00199,C660B849,CSM276668807NfIT,tQW8156,Mazda,3,2015
VEH-00200,SIN-00200,C938J986,lgS426931605vRMk,wUR5930,Mazda,2,2015
VEH-00201,SIN-00201,E820F419,zcm275601677pdMI,RVW7131,Hyundai,Tucson,2013
VEH-00202,SIN-00202,M688Q862,yQV055059471xZHE,ZrN2296,Nissan,Kicks,2024
VEH-00203,SIN-00203,D277C627,XjX566026791zuZe,toO2597,Toyota,RAV4,2014
VEH-00204,SIN-00204,G402C189,bhc267939298Rbos,ymZ1868,Kia,Picanto,2023
VEH-00205,SIN-00205,C301H185,pLc004252206zFez,yYH5791,Kia,Picanto,2022
VEH-00206,SIN-00206,M300B164,Kck226988215rJss,RDO2070,Hyundai,Santa Fe,2015
VEH-00207,SIN-00207,G160K403,kvl805957215dAIR,IGR6922,Toyota,Corolla,2019
VEH-00208,SIN-00208,C787D148,RXk765974737gqIE,DTg1798,Kia,Sorento,2017
VEH-00209,SIN-00209,K779L427,PZQ495498366rDqV,HQm5748,Mazda,2,2018
VEH-00210,SIN-00210,P343K433,wEg406281102YhHH,dmB8961,Nissan,Frontier,2013
VEH-00211,SIN-00211,F711D244,iZa678581369yEkk,qAl9722,Mazda,2,2021
VEH-00212,SIN-00212,J449E156,QnG525412622OlUq,xCp8135,Mazda,2,2016
VEH-00213,SIN-00213,C732D123,XPs891150422LKEy,KgF9459,Nissan,Sentra,2013
VEH-00214,SIN-00214,N756N806,WcL287731580jhMG,oAE6752,Nissan,Versa,2012
VEH-00215,SIN-00215,E263J237,clR926035349pKgn,NOA4622,Toyota,Corolla,2018
VEH-00216,SIN-00216,E527E255,anR020316787PTfN,gkr7193,Mazda,3,2022
VEH-00217,SIN-00217,M753N274,Ijk403062870gbPo,Vrg5041,Kia,Sorento,2021
VEH-00218,SIN-00218,N249A641,flz942367325uZOm,Vkn5777,Mazda,CX-5,2022
VEH-00219,SIN-00219,R686C863,Xrr466817818aUdj,gaq1306,Hyundai,Accent,2012
VEH-00220,SIN-00220,H242M604,PMe468198021zEtf,kaw8669,Hyundai,Tucson,2024
VEH-00221,SIN-00221,Q150G261,VaG454594916ZTSF,MgB2001,Chevrolet,D-Max,2012
VEH-00222,SIN-00222,Q965J672,ixh070766732ZnpJ,SVb5559,Toyota,RAV4,2021
VEH-00223,SIN-00223,E360G669,jyc371140874ByQu,gQd9301,Kia,Sorento,2013
VEH-00224,SIN-00224,M190K442,LnY213335059Ucxv,VIx7387,Chevrolet,D-Max,2023
VEH-00225,SIN-00225,L793A823,iSo091409528aWYb,RZW9379,Toyota,Hilux,2022
VEH-00226,SIN-00226,N116N144,Tys102761933lywC,JHa1801,Mazda,BT-50,2020
VEH-00227,SIN-00227,F910F368,GQw056847200hzCQ,zpv4943,Toyota,Corolla,2018
VEH-00228,SIN-00228,K588J561,fLh052588354lnyM,BzP3200,Hyundai,Elantra,2023
VEH-00229,SIN-00229,L142A363,xdG182396695AJvD,Ily7628,Mazda,3,2022
VEH-00230,SIN-00230,L546N804,PFt413622055UUSR,PIM3661,Mazda,BT-50,2015
VEH-00231,SIN-00231,D498L742,Kzv682477740jXpr,aEe9619,Toyota,RAV4,2018
VEH-00232,SIN-00232,H627R643,ZNe525155252uTHr,jhj4417,Chevrolet,Aveo,2023
VEH-00233,SIN-00233,M535H175,VGq466875037yBST,Kly7682,Kia,Sportage,2018
VEH-00234,SIN-00234,B526E241,vhJ617712507zdWQ,vFh1978,Nissan,Versa,2013
VEH-00235,SIN-00235,G669N109,agQ042801504UlcM,xvL5819,Toyota,RAV4,2019
VEH-00236,SIN-00236,J781Q181,iJq623429949CGaq,jnu4076,Mazda,3,2015
VEH-00237,SIN-00237,A312L224,mLM145459972AqBW,qkh2780,Mazda,BT-50,2020
VEH-00238,SIN-00238,L847H673,qhm002333741pRzq,gUn0939,Mazda,CX-5,2023
VEH-00239,SIN-00239,K415C703,SGv265783311lJeL,Jlb9427,Mazda,3,2016
VEH-00240,SIN-00240,B470H415,SyJ192870565hUCT,RTv6272,Kia,Sorento,2014
VEH-00241,SIN-00241,H702M195,bYz197808010rXux,YEk2727,Mazda,2,2019
VEH-00242,SIN-00242,B939L846,Juk061048974LzVo,lnA5404,Chevrolet,D-Max,2014
VEH-00243,SIN-00243,N605A927,caU248761228nSov,qXh1170,Nissan,Frontier,2020
VEH-00244,SIN-00244,N934P954,jQs655585505pWTP,YpW8536,Mazda,BT-50,2018
VEH-00245,SIN-00245,E707F476,QSq667464554wVlS,JbB0413,Nissan,Kicks,2014
VEH-00246,SIN-00246,F834A878,noI428110657loOg,tuZ5529,Mazda,3,2020
VEH-00247,SIN-00247,E351M314,Rij677997186WBwm,iux2746,Chevrolet,Spark,2018
VEH-00248,SIN-00248,L537K797,haP380309528ftHP,Bjh3164,Mazda,2,2019
VEH-00249,SIN-00249,R614A725,FUL256998179sNdd,lVI2450,Kia,Sorento,2016
VEH-00250,SIN-00250,H591J851,JBf072134190VHuu,uYi0031,Hyundai,Santa Fe,2021
VEH-00251,SIN-00251,R442E181,Yem192990780qTAA,niN0649,Hyundai,Tucson,2017
VEH-00252,SIN-00252,G183R430,UrY366839084GblK,lDw9144,Nissan,Frontier,2022
VEH-00253,SIN-00253,L714F615,JRi146276727KSbt,Inl6808,Nissan,Sentra,2016
VEH-00254,SIN-00254,Q383C802,cWZ589024537WRFi,nwv9670,Mazda,3,2023
VEH-00255,SIN-00255,K639N800,RJr846428629WGWA,vWD3032,Nissan,Kicks,2018
VEH-00256,SIN-00256,L878D959,lin274784334wQop,vSp2211,Kia,Rio,2024
VEH-00257,SIN-00257,R534J442,IXG699925313iLJx,iyx4957,Mazda,CX-5,2016
VEH-00258,SIN-00258,P464L173,fpC809218604uJJl,cLJ3528,Mazda,BT-50,2024
VEH-00259,SIN-00259,P418D726,WHL318397708oGbm,UDs1903,Nissan,Sentra,2019
VEH-00260,SIN-00260,P343A928,ljG741253025oSBq,Xzz9431,Mazda,3,2021
VEH-00261,SIN-00261,M854F162,dVN055819438ruyz,LRv3081,Chevrolet,Spark,2018
VEH-00262,SIN-00262,B187L689,spj336426735qOZu,gnu3193,Chevrolet,Aveo,2022
VEH-00263,SIN-00263,E276J248,gHd540898615kHGW,Wqr5175,Nissan,Kicks,2020
VEH-00264,SIN-00264,G412F591,IzX473621631sIJW,lJq2087,Hyundai,Elantra,2018
VEH-00265,SIN-00265,B681J546,Orj700360202vJHm,NXt3484,Mazda,3,2013
VEH-00266,SIN-00266,B381A912,twk875154919lZas,XcB7972,Nissan,Kicks,2015
VEH-00267,SIN-00267,A173L991,xAT141992319ymKa,BMf0712,Hyundai,Tucson,2019
VEH-00268,SIN-00268,H483N509,BOt987764845cwnP,yuE4500,Nissan,Sentra,2013
VEH-00269,SIN-00269,L367J526,urd409821766ENWh,TXA3002,Hyundai,Accent,2017
VEH-00270,SIN-00270,E502B729,MrD793848469xrBC,MOk3773,Chevrolet,Aveo,2019
VEH-00271,SIN-00271,N748E607,cAN443923369kkkg,qaE9105,Hyundai,Tucson,2012
VEH-00272,SIN-00272,L867G504,ndz042087954UTBq,bjH4948,Nissan,Frontier,2021
VEH-00273,SIN-00273,C209E827,qHk615215840gARl,tZJ9947,Mazda,BT-50,2018
VEH-00274,SIN-00274,E922M855,XkU713630737jkrL,TLl4613,Kia,Rio,2014
VEH-00275,SIN-00275,M428G670,jtl477032696raDE,MnM3546,Toyota,Hilux,2012
VEH-00276,SIN-00276,R564L995,dEy211392934PpVF,ScL4626,Nissan,Frontier,2020
VEH-00277,SIN-00277,C262N286,AWY012568597WujE,vlZ7609,Chevrolet,Aveo,2016
VEH-00278,SIN-00278,M507R756,yjS599962595UjIp,pwX9695,Chevrolet,Captiva,2016
VEH-00279,SIN-00279,N102Q674,Bkm478490180GFoQ,BFN2165,Nissan,Versa,2019
VEH-00280,SIN-00280,C782D721,GOt590683969TXsn,Xbn8371,Hyundai,Accent,2019
VEH-00281,SIN-00281,M479C256,MOn088305199YNHx,Ljl0755,Kia,Picanto,2016
VEH-00282,SIN-00282,K718F447,XXo703851989eyCg,Hkl6470,Toyota,Hilux,2022
VEH-00283,SIN-00283,P382F632,Xqt135511206fmqW,WLm4872,Toyota,Hilux,2020
