id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado
ASG-00041,Estandar,4,Guayaquil,1,5,False,334.3
ASG-00042,Basico,8,Ambato,2,0,True,810.8
ASG-00043,Premium,10,Guayaquil,2,3,True,865.0
ASG-00044,Basico,4,Ambato,1,4,True,551.5
ASG-00045,Basico,10,Ambato,3,2,True,701.8
ASG-00046,Estandar,4,Cuenca,4,1,False,574.3
ASG-00047,Premium,1,Manta,1,0,True,603.5
ASG-00048,Premium,15,Cuenca,1,1,False,471.0
ASG-00049,Estandar,14,Ambato,3,4,True,700.7
ASG-00050,Basico,5,Loja,1,1,False,369.3
ASG-00051,Premium,12,Ambato,2,2,False,662.9
ASG-00052,Basico,6,Quito,3,4,False,450.7
ASG-00053,Premium,2,Loja,4,2,True,302.1
ASG-00054,Premium,11,Cuenca,2,5,False,631.0
ASG-00055,Estandar,9,Guayaquil,1,0,True,627.4
ASG-00056,Estandar,10,Ambato,2,3,True,325.1
ASG-00057,Estandar,15,Guayaquil,3,1,True,700.2
ASG-00058,Estandar,13,Ambato,4,4,True,855.5
ASG-00059,Premium,14,Quito,2,3,True,407.6
ASG-00060,Estandar,13,Manta,2,2,True,772.4
ASG-00061,Premium,7,Guayaquil,4,1,True,790.0
ASG-00062,Estandar,6,Cuenca,2,1,True,696.0
ASG-00063,Estandar,6,Cuenca,1,2,False,684.9
ASG-00064,Estandar,11,Ambato,3,0,True,826.2
ASG-00065,Estandar,3,Ambato,3,0,True,657.9
ASG-00066,Estandar,12,Cuenca,4,4,True,531.1
ASG-00067,Basico,4,Cuenca,1,5,False,301.0
ASG-00068,Basico,11,Loja,2,2,False,342.0
ASG-00069,Basico,15,Cuenca,3,5,True,731.9
ASG-00070,Estandar,9,Cuenca,4,2,False,718.3
ASG-00071,Basico,3,Quito,4,5,False,706.4
ASG-00072,Premium,10,Ambato,3,3,True,482.3
ASG-00073,Premium,7,Ambato,3,3,False,565.3
ASG-00074,Premium,9,Manta,2,5,True,470.3
ASG-00075,Basico,11,Ambato,3,0,True,703.7
ASG-00076,Premium,13,Quito,2,0,True,446.9
ASG-00077,Estandar,10,Guayaquil,4,3,True,731.0
ASG-00078,Estandar,8,Manta,2,1,True,835.6
ASG-00079,Premium,13,Manta,2,1,False,330.1
ASG-00080,Premium,15,Guayaquil,4,1,False,700.5
ASG-00081,Basico,10,Cuenca,4,4,False,798.3
ASG-00082,Basico,8,Quito,4,3,False,751.1
ASG-00083,Basico,5,Ambato,4,5,True,464.8
ASG-00084,Premium,12,Cuenca,2,2,False,491.8
ASG-00085,Basico,2,Quito,2,1,False,716.4
ASG-00086,Basico,4,Guayaquil,4,3,False,625.6
ASG-00087,Estandar,1,Quito,4,3,True,814.0
ASG-00088,Basico,7,Manta,1,2,False,752.1
ASG-00089,Estandar,9,Loja,2,3,True,463.8
ASG-00090,Estandar,1,Manta,3,5,False,734.5
ASG-00091,Estandar,15,Quito,1,3,True,350.4
ASG-00092,Estandar,3,Manta,2,0,False,527.5
ASG-00093,Premium,8,Cuenca,3,3,False,751.2
ASG-00094,Estandar,5,Guayaquil,4,0,True,899.9
ASG-00095,Estandar,4,Loja,1,5,True,752.5
ASG-00096,Premium,4,Guayaquil,2,1,True,584.1
ASG-00097,Premium,10,Quito,4,5,False,760.1
ASG-00098,Premium,10,Ambato,1,1,False,364.9
ASG-00099,Premium,15,Cuenca,4,3,True,345.6
ASG-00100,Basico,14,Loja,2,0,False,810.2
ASG-00101,Basico,13,Guayaquil,1,2,False,696.9
ASG-00102,Premium,9,Loja,3,0,False,793.4
ASG-00103,Premium,7,Cuenca,4,5,True,561.3
ASG-00104,Basico,9,Loja,3,4,False,578.9
ASG-00105,Basico,10,Cuenca,3,1,True,467.4
ASG-00106,Estandar,4,Manta,4,2,True,596.6
ASG-00107,Estandar,3,Manta,2,2,False,504.2
ASG-00108,Basico,12,Cuenca,1,4,True,351.4
ASG-00109,Basico,7,Manta,2,5,False,687.5
ASG-00110,Estandar,8,Guayaquil,1,2,True,542.6
ASG-00111,Premium,5,Loja,3,3,False,555.3
ASG-00112,Basico,9,Cuenca,3,5,False,462.5
ASG-00113,Estandar,4,Guayaquil,2,2,True,745.7
ASG-00114,Basico,3,Quito,2,5,False,465.9
ASG-00115,Basico,13,Ambato,3,0,True,477.7
ASG-00116,Estandar,3,Cuenca,1,5,True,464.6
ASG-00117,Premium,9,Cuenca,2,5,False,361.6
ASG-00118,Premium,10,Cuenca,4,3,False,504.4
ASG-00119,Premium,5,Manta,1,0,False,595.0
ASG-00120,Basico,11,Loja,1,1,True,786.7
ASG-00121,Estandar,2,Quito,1,4,False,663.8
ASG-00122,Basico,4,Ambato,4,3,False,478.4
ASG-00123,Basico,7,Cuenca,1,4,True,868.6
ASG-00124,Premium,11,Quito,3,5,True,394.2
ASG-00125,Premium,9,Guayaquil,2,0,False,570.3
ASG-00126,Basico,8,Cuenca,1,1,False,724.2
ASG-00127,Basico,14,Manta,1,5,True,854.3
ASG-00128,Basico,10,Loja,2,3,True,626.7
ASG-00129,Basico,3,Cuenca,2,0,True,399.6
ASG-00130,Estandar,10,Loja,3,3,True,581.2
ASG-00131,Estandar,12,Manta,3,4,False,562.7
ASG-00132,Basico,1,Manta,3,4,False,315.5
ASG-00133,Premium,11,Ambato,1,5,False,645.7
ASG-00134,Premium,8,Ambato,4,2,True,898.2
ASG-00135,Estandar,11,Manta,1,3,False,545.0
ASG-00136,Estandar,11,Guayaquil,2,2,False,716.2
ASG-00137,Estandar,11,Manta,1,3,True,488.7
ASG-00138,Estandar,2,Manta,1,5,False,547.9
ASG-00139,Premium,9,Cuenca,4,5,False,756.0
ASG-00140,Premium,5,Ambato,2,2,False,828.5
ASG-00141,Estandar,2,Guayaquil,2,5,True,486.5
ASG-00142,Premium,9,Manta,1,1,True,576.9
ASG-00143,Premium,11,Quito,4,5,False,605.3
ASG-00144,Estandar,7,Manta,4,1,False,630.8
ASG-00145,Estandar,4,Ambato,2,0,False,763.6
ASG-00146,Estandar,6,Ambato,3,0,False,735.6
ASG-00147,Basico,10,Loja,4,1,False,623.1
ASG-00148,Estandar,6,Ambato,4,3,False,821.8
ASG-00149,Basico,4,Ambato,4,1,False,326.2
ASG-00150,Basico,8,Loja,4,3,True,597.2
ASG-00151,Premium,3,Ambato,3,0,False,359.8
ASG-00152,Estandar,1,Loja,2,3,True,344.9
ASG-00153,Estandar,6,Ambato,4,5,True,811.1
ASG-00154,Basico,14,Ambato,4,2,False,823.4
ASG-00155,Premium,10,Guayaquil,2,5,False,898.5
ASG-00156,Basico,2,Manta,1,5,True,566.2
ASG-00157,Basico,5,Guayaquil,1,2,True,476.0
ASG-00158,Estandar,7,Quito,2,4,False,639.6
ASG-00159,Premium,3,Quito,1,4,False,671.8
ASG-00160,Premium,8,Ambato,2,1,False,682.7
ASG-00161,Estandar,5,Loja,1,3,False,706.6
ASG-00162,Premium,2,Manta,3,4,False,683.4
ASG-00163,Estandar,12,Cuenca,4,2,True,899.6
ASG-00164,Estandar,2,Quito,4,4,False,644.9
ASG-00165,Basico,5,Guayaquil,4,2,True,639.6
ASG-00166,Basico,13,Loja,1,4,False,799.7
ASG-00167,Estandar,13,Quito,3,1,True,672.5
ASG-00168,Basico,13,Loja,2,5,True,842.0
ASG-00169,Basico,1,Cuenca,4,0,False,739.4
ASG-00170,Premium,15,Cuenca,3,5,False,405.4
ASG-00171,Premium,13,Ambato,3,4,False,798.3
ASG-00172,Estandar,15,Manta,3,5,False,782.5
ASG-00173,Estandar,2,Quito,2,5,False,880.4
ASG-00174,Basico,6,Guayaquil,4,0,False,621.9
ASG-00175,Estandar,6,Loja,3,4,False,793.5
ASG-00176,Estandar,2,Loja,2,3,True,671.7
ASG-00177,Basico,6,Ambato,2,5,True,681.2
ASG-00178,Estandar,15,Loja,3,5,False,370.0
ASG-00179,Premium,1,Cuenca,4,0,True,440.9
ASG-00180,Basico,3,Manta,4,2,False,652.4
ASG-00181,Basico,3,Manta,1,3,False,863.4
ASG-00182,Estandar,1,Loja,3,1,False,566.8
ASG-00183,Premium,14,Cuenca,1,5,False,626.7
ASG-00184,Basico,6,Guayaquil,4,2,True,880.9
ASG-00185,Estandar,2,Loja,2,5,True,330.3
ASG-00186,Estandar,4,Quito,2,0,True,651.8
ASG-00187,Premium,6,Quito,1,2,True,892.5
ASG-00188,Basico,5,Quito,1,5,True,379.1
ASG-00189,Estandar,13,Quito,3,0,True,459.2
ASG-00190,Premium,12,Manta,1,5,True,585.7
ASG-00191,Estandar,9,Ambato,1,3,True,867.2
ASG-00192,Premium,12,Loja,3,3,True,336.5
ASG-00193,Estandar,14,Manta,4,5,True,594.2
ASG-00194,Estandar,2,Guayaquil,3,4,True,339.4
ASG-00195,Estandar,10,Loja,3,3,False,572.2
ASG-00196,Basico,7,Guayaquil,1,5,True,558.0
ASG-00197,Premium,7,Cuenca,4,3,False,737.8
ASG-00198,Estandar,7,Cuenca,3,2,True,712.1
ASG-00199,Estandar,2,Guayaquil,1,0,False,357.9
ASG-00200,Basico,6,Quito,1,4,False,702.0
ASG-00201,Estandar,6,Loja,4,5,True,881.0
ASG-00202,Basico,5,Cuenca,1,4,True,392.8
ASG-00203,Estandar,4,Guayaquil,3,4,False,368.9
ASG-00204,Estandar,10,Quito,4,4,True,665.4
ASG-00205,Basico,14,Loja,3,0,True,464.0
ASG-00206,Estandar,15,Cuenca,3,0,True,821.9
ASG-00207,Basico,11,Manta,1,1,True,355.1
ASG-00208,Basico,4,Manta,4,3,False,394.4
ASG-00209,Estandar,12,Cuenca,1,0,True,394.4
ASG-00210,Basico,1,Loja,1,2,False,697.2
ASG-00211,Estandar,10,Manta,4,2,True,753.0
ASG-00212,Premium,6,Manta,1,2,False,616.2
ASG-00213,Estandar,1,Quito,4,4,True,304.6
ASG-00214,Estandar,4,Quito,3,2,False,372.0
ASG-00215,Estandar,12,Manta,2,1,False,619.5
ASG-00216,Premium,9,Ambato,3,0,False,817.1
ASG-00217,Premium,7,Guayaquil,4,0,False,645.5
ASG-00218,Basico,7,Loja,4,2,True,543.0
ASG-00219,Estandar,3,Ambato,4,5,False,352.9
ASG-00220,Premium,4,Manta,4,4,True,537.5
ASG-00221,Estandar,12,Cuenca,2,2,True,345.8
ASG-00222,Basico,2,Ambato,2,2,False,736.4
ASG-00223,Basico,14,Quito,2,0,True,453.6
ASG-00224,Premium,10,Quito,1,1,False,578.4
ASG-00225,Basico,13,Ambato,4,5,False,818.5
ASG-00226,Basico,6,Quito,4,0,False,565.3
ASG-00227,Estandar,13,Cuenca,1,2,True,486.2
ASG-00228,Estandar,1,Guayaquil,3,2,True,686.8
ASG-00229,Premium,10,Ambato,4,3,True,569.8
ASG-00230,Basico,11,Quito,3,4,False,600.8
ASG-00231,Premium,8,Guayaquil,3,5,True,602.7
ASG-00232,Premium,1,Quito,4,3,True,518.3
ASG-00233,Estandar,7,Manta,3,5,True,773.5
ASG-00234,Basico,6,Guayaquil,3,0,False,470.5
ASG-00235,Basico,14,Loja,2,2,True,649.6
ASG-00236,Premium,15,Cuenca,3,5,False,377.4
ASG-00237,Basico,2,Cuenca,4,5,False,787.9
ASG-00238,Basico,12,Loja,1,5,False,605.1
ASG-00239,Premium,6,Cuenca,2,1,False,868.6
ASG-00240,Estandar,4,Quito,2,1,True,477.5
ASG-00241,Premium,9,Ambato,1,5,False,825.8
ASG-00242,Basico,3,Ambato,4,1,True,408.5
ASG-00243,Basico,13,Ambato,2,5,False,326.2
ASG-00244,Estandar,11,Loja,2,3,False,751.4
ASG-00245,Estandar,4,Ambato,2,2,False,842.4
ASG-00246,Premium,6,Loja,4,3,False,766.9
ASG-00247,Basico,9,Manta,2,1,True,823.8
ASG-00248,Premium,11,Manta,3,4,True,726.8
ASG-00249,Basico,14,Guayaquil,3,0,True,463.7
ASG-00250,Basico,3,Manta,1,1,False,830.8
ASG-00251,Premium,7,Guayaquil,4,4,False,441.5
ASG-00252,Premium,6,Quito,1,2,True,803.5
ASG-00253,Basico,6,Quito,2,0,False,850.4
ASG-00254,Estandar,12,Quito,4,3,True,843.5
ASG-00255,Premium,5,Quito,2,4,False,366.7
ASG-00256,Estandar,4,Cuenca,1,0,True,551.9
ASG-00257,Basico,8,Guayaquil,1,3,True,679.2
ASG-00258,Basico,4,Loja,2,2,False,300.9
ASG-00259,Estandar,4,Ambato,4,1,True,614.1
ASG-00260,Estandar,2,Ambato,1,3,False,326.1
ASG-00261,Estandar,6,Cuenca,1,2,True,506.9
ASG-00262,Basico,11,Loja,1,4,False,380.0
ASG-00263,Estandar,9,Cuenca,2,5,False,888.5
ASG-00264,Estandar,11,Quito,2,0,False,322.2
ASG-00265,Premium,1,Quito,1,2,False,609.2
ASG-00266,Basico,8,Cuenca,1,5,True,471.7
ASG-00267,Premium,14,Loja,3,2,True,779.6
ASG-00268,Estandar,15,Manta,4,3,False,884.2
ASG-00269,Estandar,12,Manta,3,4,False,780.7
ASG-00270,Basico,7,Guayaquil,4,4,True,627.3
ASG-00271,Estandar,2,Guayaquil,3,5,False,483.9
ASG-00272,Basico,12,Manta,2,5,False,510.9
ASG-00273,Premium,12,Cuenca,4,2,True,345.0
ASG-00274,Basico,7,Cuenca,2,0,True,809.2
ASG-00275,Basico,13,Manta,1,1,True,441.6
ASG-00276,Basico,6,Cuenca,4,4,True,663.1
ASG-00277,Basico,8,Cuenca,3,3,True,644.4
ASG-00278,Basico,6,Manta,3,5,False,449.8
ASG-00279,Premium,1,Loja,2,3,False,848.1
ASG-00280,Premium,5,Cuenca,4,1,False,716.4
ASG-00281,Estandar,4,Guayaquil,2,0,False,403.6
ASG-00282,Basico,8,Guayaquil,3,5,False,725.7
ASG-00283,Basico,9,Cuenca,3,1,True,776.2
ASG-00284,Basico,4,Guayaquil,2,1,True,774.2
ASG-00285,Premium,6,Ambato,3,3,True,667.2
ASG-00286,Premium,2,Cuenca,4,5,False,615.4
ASG-00287,Estandar,14,Ambato,1,1,False,685.4
ASG-00288,Estandar,8,Loja,3,1,True,760.7
ASG-00289,Premium,7,Ambato,1,0,True,482.5
ASG-00290,Premium,6,Loja,2,2,False,807.6
ASG-00291,Estandar,4,Loja,3,1,False,668.7
ASG-00292,Premium,9,Loja,2,4,True,402.7
ASG-00293,Basico,12,Ambato,3,4,True,795.1
ASG-00294,Premium,2,Guayaquil,3,5,True,760.2
ASG-00295,Estandar,10,Loja,1,3,False,685.1
ASG-00296,Estandar,8,Quito,4,2,False,343.8
ASG-00297,Premium,3,Manta,4,3,False,422.4
ASG-00298,Basico,3,Cuenca,3,5,False,885.2
ASG-00299,Premium,13,Cuenca,1,2,True,579.9
ASG-00300,Estandar,8,Quito,2,0,True,474.1
ASG-00301,Estandar,14,Ambato,4,1,True,788.1
ASG-00302,Basico,12,Cuenca,2,1,False,897.6
ASG-00303,Estandar,8,Cuenca,4,0,True,867.1
ASG-00304,Basico,8,Quito,2,4,False,329.2
ASG-00305,Estandar,8,Ambato,4,2,True,808.3
ASG-00306,Estandar,3,Cuenca,3,3,False,327.1
ASG-00307,Premium,10,Ambato,2,2,False,344.1
ASG-00308,Basico,8,Ambato,3,4,True,377.2
ASG-00309,Premium,7,Cuenca,3,4,False,753.0
ASG-00310,Premium,10,Ambato,4,4,True,327.2
ASG-00311,Premium,12,Cuenca,4,4,False,389.4
ASG-00312,Basico,3,Cuenca,3,1,False,894.4
ASG-00313,Basico,14,Cuenca,3,4,False,725.2
ASG-00314,Estandar,8,Guayaquil,3,2,True,887.9
ASG-00315,Basico,5,Loja,1,4,False,459.3
ASG-00316,Basico,13,Ambato,2,5,True,650.1
ASG-00317,Premium,9,Loja,4,1,True,318.9
ASG-00318,Basico,2,Quito,1,3,False,551.3
ASG-00319,Estandar,12,Quito,4,4,False,823.7
ASG-00320,Basico,12,Guayaquil,2,4,True,636.5
ASG-00321,Basico,8,Ambato,4,2,True,575.8
ASG-00322,Basico,6,Ambato,3,5,False,666.0
ASG-00323,Premium,4,Cuenca,3,1,False,762.7
ASG-00324,Basico,4,Loja,4,2,False,509.3
ASG-00325,Basico,5,Cuenca,1,4,False,837.5
ASG-00326,Estandar,14,Cuenca,2,2,True,472.6
ASG-00327,Basico,2,Cuenca,4,5,False,748.4
ASG-00328,Premium,4,Ambato,3,4,False,382.4
ASG-00329,Basico,12,Ambato,2,1,True,701.9
ASG-00330,Basico,4,Loja,2,0,True,548.0
ASG-00331,Basico,8,Guayaquil,2,0,True,544.1
ASG-00332,Estandar,8,Loja,2,2,False,471.2
ASG-00333,Premium,15,Guayaquil,2,4,True,847.9
ASG-00334,Premium,7,Quito,1,3,False,411.8
ASG-00335,Basico,14,Cuenca,1,0,False,640.8
ASG-00336,Premium,15,Cuenca,3,3,False,833.6
ASG-00337,Premium,14,Ambato,4,2,True,785.3
ASG-00338,Estandar,3,Loja,4,5,False,731.2
ASG-00339,Premium,12,Cuenca,3,4,True,405.3
ASG-00340,Basico,15,Manta,4,4,False,352.0
ASG-00341,Basico,2,Quito,2,3,False,861.5
ASG-00342,Premium,5,Manta,2,3,False,872.4
ASG-00343,Estandar,10,Loja,1,2,False,715.7
ASG-00344,Premium,11,Guayaquil,4,2,True,543.2
ASG-00345,Basico,15,Loja,3,5,True,683.2
ASG-00346,Estandar,6,Ambato,2,1,True,586.9
ASG-00347,Estandar,12,Ambato,3,3,False,754.4
ASG-00348,Basico,14,Quito,2,5,True,615.3
ASG-00349,Basico,12,Cuenca,1,4,True,337.1
ASG-00350,Basico,15,Ambato,2,4,True,398.7
ASG-00351,Basico,8,Guayaquil,2,5,False,354.6
ASG-00352,Basico,8,Guayaquil,4,1,False,574.1
ASG-00353,Premium,9,Manta,3,5,True,537.6
ASG-00354,Premium,12,Quito,1,0,False,506.7
ASG-00355,Premium,9,Guayaquil,1,3,True,472.3
ASG-00356,Premium,13,Quito,4,2,False,569.1
ASG-00357,Estandar,7,Guayaquil,2,5,False,371.2
ASG-00358,Basico,7,Ambato,2,5,True,800.9
ASG-00359,Premium,5,Manta,4,4,False,794.0
ASG-00360,Premium,8,Cuenca,2,2,True,862.4
ASG-00361,Basico,13,Guayaquil,1,5,False,669.0
ASG-00362,Premium,4,Quito,1,0,True,567.9
ASG-00363,Basico,12,Guayaquil,2,5,True,541.4
ASG-00364,Premium,9,Quito,1,1,False,440.5
ASG-00365,Basico,10,Cuenca,3,1,False,825.8
ASG-00366,Basico,9,Quito,4,2,False,336.6
ASG-00367,Basico,15,Loja,2,5,False,633.5
ASG-00368,Premium,6,Loja,4,4,False,717.8
ASG-00369,Estandar,3,Cuenca,4,1,False,444.6
ASG-00370,Premium,5,Loja,2,3,True,637.4
ASG-00371,Estandar,9,Ambato,2,3,True,453.0
ASG-00372,Estandar,11,Guayaquil,4,2,True,621.4
ASG-00373,Premium,1,Cuenca,4,5,True,824.2
ASG-00374,Premium,13,Ambato,2,3,True,821.7
ASG-00375,Estandar,5,Guayaquil,2,1,True,748.1
ASG-00376,Estandar,15,Quito,2,3,True,631.2
ASG-00377,Estandar,7,Manta,3,2,False,515.8
ASG-00378,Estandar,8,Guayaquil,4,2,True,522.4
ASG-00379,Estandar,1,Ambato,2,5,True,309.7
ASG-00380,Basico,15,Ambato,4,2,True,417.7
ASG-00381,Premium,7,Ambato,2,3,False,454.4
ASG-00382,Estandar,12,Loja,4,3,True,739.7
ASG-00383,Estandar,3,Quito,4,1,True,614.4
ASG-00384,Premium,14,Loja,1,0,False,382.5
ASG-00385,Basico,4,Guayaquil,2,0,True,603.4
ASG-00386,Estandar,1,Ambato,4,5,False,309.4
ASG-00387,Basico,9,Manta,1,0,False,621.4
ASG-00388,Estandar,1,Ambato,4,1,True,850.8
ASG-00389,Basico,3,Quito,2,4,False,789.1
ASG-00390,Estandar,13,Manta,1,2,False,575.4
ASG-00391,Premium,12,Quito,3,5,True,692.2
ASG-00392,Basico,13,Guayaquil,1,3,False,526.3
ASG-00393,Estandar,1,Loja,1,5,True,349.6
ASG-00394,Estandar,11,Cuenca,1,4,True,437.9
ASG-00395,Basico,15,Ambato,4,2,True,854.5
ASG-00396,Basico,15,Cuenca,1,1,False,309.4
ASG-00397,Premium,10,Quito,4,0,False,397.5
ASG-00398,Premium,10,Manta,3,3,True,774.3
ASG-00399,Basico,12,Guayaquil,3,0,True,562.3
ASG-00400,Premium,6,Ambato,4,2,True,680.5
