id_vehiculo,id_siniestro,placa,chasis,motor,marca,modelo,anio
VEH-00881,SIN-00881,,,,,,
VEH-00299,SIN-00299,,,,,,
VEH-00375,SIN-00375,,,,,,
VEH-00190,SIN-00190,,,,,,
VEH-00162,SIN-00162,,,,,,
VEH-00450,SIN-00450,,,,,,
VEH-00626,SIN-00626,,,,,,
VEH-00034,SIN-00034,,,,,,
VEH-00358,SIN-00358,,,,,,
VEH-00415,SIN-00415,,,,,,
VEH-00614,SIN-00614,,,,,,
VEH-00282,SIN-00282,,,,,,
VEH-00336,SIN-00336,,,,,,
VEH-00981,SIN-00981,,,,,,
VEH-00007,SIN-00007,,,,,,
VEH-00116,SIN-00116,,,,,,
VEH-00239,SIN-00239,,,,,,
VEH-00988,SIN-00988,,,,,,
VEH-00492,SIN-00492,,,,,,
VEH-00975,SIN-00975,,,,,,
VEH-00313,SIN-00313,,,,,,
VEH-00511,SIN-00511,,,,,,
VEH-00279,SIN-00279,,,,,,
VEH-00468,SIN-00468,,,,,,
VEH-00864,SIN-00864,,,,,,
VEH-00903,SIN-00903,,,,,,
VEH-00715,SIN-00715,,,,,,
VEH-00922,SIN-00922,,,,,,
VEH-00798,SIN-00798,,,,,,
VEH-00938,SIN-00938,,,,,,
VEH-00314,SIN-00314,,,,,,
VEH-00347,SIN-00347,,,,,,
VEH-00420,SIN-00420,,,,,,
VEH-00595,SIN-00595,,,,,,
VEH-00805,SIN-00805,,,,,,
VEH-00151,SIN-00151,,,,,,
VEH-00486,SIN-00486,,,,,,
VEH-00407,SIN-00407,,,,,,
VEH-00503,SIN-00503,,,,,,
VEH-00517,SIN-00517,,,,,,
VEH-00551,SIN-00551,,,,,,
VEH-00504,SIN-00504,,,,,,
VEH-00046,SIN-00046,,,,,,
VEH-00286,SIN-00286,,,,,,
VEH-00905,SIN-00905,,,,,,
VEH-00940,SIN-00940,,,,,,
VEH-00948,SIN-00948,,,,,,
VEH-00002,SIN-00002,,,,,,
VEH-00359,SIN-00359,,,,,,
VEH-00865,SIN-00865,,,,,,
VEH-00171,SIN-00171,,,,,,
VEH-00957,SIN-00957,,,,,,
VEH-00410,SIN-00410,,,,,,
VEH-00834,SIN-00834,,,,,,
VEH-00083,SIN-00083,,,,,,
VEH-00915,SIN-00915,,,,,,
VEH-00010,SIN-00010,,,,,,
VEH-00841,SIN-00841,,,,,,
VEH-00711,SIN-00711,,,,,,
VEH-00929,SIN-00929,,,,,,
VEH-00378,SIN-00378,,,,,,
VEH-00829,SIN-00829,,,,,,
VEH-00589,SIN-00589,,,,,,
VEH-00846,SIN-00846,,,,,,
VEH-00893,SIN-00893,,,,,,
VEH-00477,SIN-00477,,,,,,
VEH-00593,SIN-00593,,,,,,
VEH-00130,SIN-00130,,,,,,
VEH-00308,SIN-00308,,,,,,
VEH-00107,SIN-00107,,,,,,
VEH-00515,SIN-00515,,,,,,
VEH-00175,SIN-00175,,,,,,
VEH-00325,SIN-00325,,,,,,
VEH-00496,SIN-00496,,,,,,
VEH-00329,SIN-00329,,,,,,
VEH-00617,SIN-00617,,,,,,
VEH-00585,SIN-00585,,,,,,
VEH-00602,SIN-00602,,,,,,
VEH-00613,SIN-00613,,,,,,
VEH-00139,SIN-00139,,,,,,
VEH-00586,SIN-00586,,,,,,
VEH-00245,SIN-00245,,,,,,
VEH-00650,SIN-00650,,,,,,
VEH-00584,SIN-00584,,,,,,
VEH-00995,SIN-00995,,,,,,
VEH-00085,SIN-00085,,,,,,
VEH-00513,SIN-00513,,,,,,
VEH-00594,SIN-00594,,,,,,
VEH-00714,SIN-00714,,,,,,
VEH-00936,SIN-00936,,,,,,
VEH-00271,SIN-00271,,,,,,
VEH-00210,SIN-00210,,,,,,
VEH-00997,SIN-00997,,,,,,
VEH-00298,SIN-00298,,,,,,
VEH-00438,SIN-00438,,,,,,
VEH-00607,SIN-00607,,,,,,
VEH-00019,SIN-00019,,,,,,
VEH-00658,SIN-00658,,,,,,
VEH-00908,SIN-00908,,,,,,
VEH-00160,SIN-00160,,,,,,
VEH-00180,SIN-00180,,,,,,
VEH-00253,SIN-00253,,,,,,
VEH-00340,SIN-00340,,,,,,
VEH-00534,SIN-00534,,,,,,
VEH-00885,SIN-00885,,,,,,
VEH-00601,SIN-00601,,,,,,
VEH-00760,SIN-00760,,,,,,
VEH-00886,SIN-00886,,,,,,
VEH-00257,SIN-00257,,,,,,
VEH-00091,SIN-00091,,,,,,
VEH-00436,SIN-00436,,,,,,
VEH-00839,SIN-00839,,,,,,
VEH-00960,SIN-00960,,,,,,
VEH-00073,SIN-00073,,,,,,
VEH-00095,SIN-00095,,,,,,
VEH-00754,SIN-00754,,,,,,
VEH-00854,SIN-00854,,,,,,
VEH-00261,SIN-00261,,,,,,
VEH-00966,SIN-00966,,,,,,
VEH-00280,SIN-00280,,,,,,
VEH-00021,SIN-00021,,,,,,
VEH-00348,SIN-00348,,,,,,
VEH-00627,SIN-00627,,,,,,
VEH-00832,SIN-00832,,,,,,
VEH-00629,SIN-00629,,,,,,
VEH-00818,SIN-00818,,,,,,
VEH-00423,SIN-00423,,,,,,
VEH-00654,SIN-00654,,,,,,
VEH-00779,SIN-00779,,,,,,
VEH-00133,SIN-00133,,,,,,
VEH-00223,SIN-00223,,,,,,
VEH-00114,SIN-00114,,,,,,
VEH-00440,SIN-00440,,,,,,
VEH-00100,SIN-00100,,,,,,
VEH-00232,SIN-00232,,,,,,
VEH-00512,SIN-00512,,,,,,
VEH-00954,SIN-00954,,,,,,
VEH-00801,SIN-00801,,,,,,
VEH-00795,SIN-00795,,,,,,
VEH-00238,SIN-00238,,,,,,
VEH-00895,SIN-00895,,,,,,
VEH-00165,SIN-00165,,,,,,
VEH-00383,SIN-00383,,,,,,
VEH-00505,SIN-00505,,,,,,
VEH-00588,SIN-00588,,,,,,
VEH-00526,SIN-00526,,,,,,
VEH-00541,SIN-00541,,,,,,
VEH-00431,SIN-00431,,,,,,
VEH-00722,SIN-00722,,,,,,
VEH-00250,SIN-00250,,,,,,
VEH-00847,SIN-00847,,,,,,
VEH-00226,SIN-00226,,,,,,
VEH-00630,SIN-00630,,,,,,
VEH-00454,SIN-00454,,,,,,
VEH-00089,SIN-00089,,,,,,
VEH-00120,SIN-00120,,,,,,
VEH-00300,SIN-00300,,,,,,
VEH-00567,SIN-00567,,,,,,
VEH-00677,SIN-00677,,,,,,
VEH-00123,SIN-00123,,,,,,
VEH-00013,SIN-00013,,,,,,
VEH-00032,SIN-00032,,,,,,
VEH-00811,SIN-00811,,,,,,
VEH-00333,SIN-00333,,,,,,
VEH-00049,SIN-00049,,,,,,
VEH-00397,SIN-00397,,,,,,
VEH-00018,SIN-00018,,,,,,
VEH-00196,SIN-00196,,,,,,
VEH-00816,SIN-00816,,,,,,
VEH-00965,SIN-00965,,,,,,
VEH-00036,SIN-00036,,,,,,
VEH-00372,SIN-00372,,,,,,
VEH-00500,SIN-00500,,,,,,
VEH-00799,SIN-00799,,,,,,
VEH-00907,SIN-00907,,,,,,
VEH-00561,SIN-00561,,,,,,
VEH-00823,SIN-00823,,,,,,
VEH-00404,SIN-00404,,,,,,
VEH-00924,SIN-00924,,,,,,
VEH-00323,SIN-00323,,,,,,
VEH-00984,SIN-00984,,,,,,
VEH-00065,SIN-00065,,,,,,
VEH-00674,SIN-00674,,,,,,
VEH-00920,SIN-00920,,,,,,
VEH-00268,SIN-00268,,,,,,
VEH-00873,SIN-00873,,,,,,
VEH-00373,SIN-00373,,,,,,
VEH-00556,SIN-00556,,,,,,
VEH-00062,SIN-00062,,,,,,
VEH-00402,SIN-00402,,,,,,
VEH-00565,SIN-00565,,,,,,
VEH-00509,SIN-00509,,,,,,
VEH-00652,SIN-00652,,,,,,
VEH-00880,SIN-00880,,,,,,
VEH-00016,SIN-00016,,,,,,
VEH-00307,SIN-00307,,,,,,
VEH-00748,SIN-00748,,,,,,
VEH-00053,SIN-00053,,,,,,
VEH-00200,SIN-00200,,,,,,
VEH-00495,SIN-00495,,,,,,
VEH-00507,SIN-00507,,,,,,
VEH-00745,SIN-00745,,,,,,
VEH-00413,SIN-00413,,,,,,
VEH-00743,SIN-00743,,,,,,
VEH-00102,SIN-00102,,,,,,
VEH-00148,SIN-00148,,,,,,
VEH-00059,SIN-00059,,,,,,
VEH-00229,SIN-00229,,,,,,
VEH-00244,SIN-00244,,,,,,
VEH-00490,SIN-00490,,,,,,
VEH-00264,SIN-00264,,,,,,
VEH-00651,SIN-00651,,,,,,
VEH-00442,SIN-00442,,,,,,
VEH-00648,SIN-00648,,,,,,
VEH-00432,SIN-00432,,,,,,
VEH-00992,SIN-00992,,,,,,
VEH-00183,SIN-00183,,,,,,
VEH-00530,SIN-00530,,,,,,
VEH-00952,SIN-00952,,,,,,
VEH-00849,SIN-00849,,,,,,
VEH-00998,SIN-00998,,,,,,
VEH-00321,SIN-00321,,,,,,
VEH-00334,SIN-00334,,,,,,
VEH-00689,SIN-00689,,,,,,
VEH-00343,SIN-00343,,,,,,
VEH-00054,SIN-00054,,,,,,
VEH-00388,SIN-00388,,,,,,
VEH-00527,SIN-00527,,,,,,
VEH-00445,SIN-00445,,,,,,
VEH-00610,SIN-00610,,,,,,
VEH-00449,SIN-00449,,,,,,
VEH-00063,SIN-00063,,,,,,
VEH-00111,SIN-00111,,,,,,
VEH-00135,SIN-00135,,,,,,
VEH-00146,SIN-00146,,,,,,
VEH-00198,SIN-00198,,,,,,
VEH-00606,SIN-00606,,,,,,
VEH-00061,SIN-00061,,,,,,
VEH-00361,SIN-00361,,,,,,
VEH-00425,SIN-00425,,,,,,
VEH-00473,SIN-00473,,,,,,
VEH-00641,SIN-00641,,,,,,
VEH-00241,SIN-00241,,,,,,
VEH-00385,SIN-00385,,,,,,
VEH-00665,SIN-00665,,,,,,
VEH-00926,SIN-00926,,,,,,
VEH-00057,SIN-00057,,,,,,
VEH-00459,SIN-00459,,,,,,
VEH-00528,SIN-00528,,,,,,
VEH-00557,SIN-00557,,,,,,
VEH-00887,SIN-00887,,,,,,
VEH-00935,SIN-00935,,,,,,
VEH-00157,SIN-00157,,,,,,
VEH-00456,SIN-00456,,,,,,
VEH-00474,SIN-00474,,,,,,
VEH-00562,SIN-00562,,,,,,
VEH-00928,SIN-00928,,,,,,
VEH-00889,SIN-00889,,,,,,
VEH-00444,SIN-00444,,,,,,
VEH-00661,SIN-00661,,,,,,
VEH-00460,SIN-00460,,,,,,
VEH-00421,SIN-00421,,,,,,
VEH-00164,SIN-00164,,,,,,
VEH-00195,SIN-00195,,,,,,
VEH-00144,SIN-00144,,,,,,
VEH-00911,SIN-00911,,,,,,
VEH-00172,SIN-00172,,,,,,
VEH-00256,SIN-00256,,,,,,
VEH-00497,SIN-00497,,,,,,
VEH-00609,SIN-00609,,,,,,
VEH-00248,SIN-00248,,,,,,
VEH-00380,SIN-00380,,,,,,
VEH-00568,SIN-00568,,,,,,
VEH-00311,SIN-00311,,,,,,
VEH-00580,SIN-00580,,,,,,
VEH-00179,SIN-00179,,,,,,
VEH-00219,SIN-00219,,,,,,
VEH-00969,SIN-00969,,,,,,
VEH-00939,SIN-00939,,,,,,
VEH-00254,SIN-00254,,,,,,
VEH-00773,SIN-00773,,,,,,
VEH-00890,SIN-00890,,,,,,
VEH-00099,SIN-00099,,,,,,
VEH-00979,SIN-00979,,,,,,
VEH-00117,SIN-00117,,,,,,
VEH-00716,SIN-00716,,,,,,
VEH-00912,SIN-00912,,,,,,
VEH-00600,SIN-00600,,,,,,
VEH-00599,SIN-00599,,,,,,
VEH-00029,SIN-00029,,,,,,
VEH-00309,SIN-00309,,,,,,
VEH-00878,SIN-00878,,,,,,
VEH-00176,SIN-00176,,,,,,
VEH-00273,SIN-00273,,,,,,
VEH-00721,SIN-00721,,,,,,
VEH-00573,SIN-00573,,,,,,
VEH-00371,SIN-00371,,,,,,
VEH-00386,SIN-00386,,,,,,
VEH-00267,SIN-00267,,,,,,
VEH-00850,SIN-00850,,,,,,
VEH-00215,SIN-00215,,,,,,
VEH-00906,SIN-00906,,,,,,
VEH-00292,SIN-00292,,,,,,
VEH-00974,SIN-00974,,,,,,
VEH-00259,SIN-00259,,,,,,
VEH-00462,SIN-00462,,,,,,
VEH-00785,SIN-00785,,,,,,
VEH-00235,SIN-00235,,,,,,
VEH-00483,SIN-00483,,,,,,
VEH-00531,SIN-00531,,,,,,
VEH-00742,SIN-00742,,,,,,
VEH-00653,SIN-00653,,,,,,
VEH-00655,SIN-00655,,,,,,
VEH-00664,SIN-00664,,,,,,
VEH-00953,SIN-00953,,,,,,
VEH-00855,SIN-00855,,,,,,
VEH-00288,SIN-00288,,,,,,
VEH-00305,SIN-00305,,,,,,
VEH-00489,SIN-00489,,,,,,
VEH-00696,SIN-00696,,,,,,
VEH-00750,SIN-00750,,,,,,
VEH-00941,SIN-00941,,,,,,
VEH-00015,SIN-00015,,,,,,
VEH-00169,SIN-00169,,,,,,
VEH-00733,SIN-00733,,,,,,
VEH-00364,SIN-00364,,,,,,
VEH-00638,SIN-00638,,,,,,
VEH-00026,SIN-00026,,,,,,
VEH-00050,SIN-00050,,,,,,
VEH-00729,SIN-00729,,,,,,
VEH-00769,SIN-00769,,,,,,
VEH-00813,SIN-00813,,,,,,
VEH-00138,SIN-00138,,,,,,
VEH-00393,SIN-00393,,,,,,
VEH-00884,SIN-00884,,,,,,
VEH-00452,SIN-00452,,,,,,
VEH-00243,SIN-00243,,,,,,
VEH-00167,SIN-00167,,,,,,
VEH-00683,SIN-00683,,,,,,
VEH-00955,SIN-00955,,,,,,
VEH-00978,SIN-00978,,,,,,
VEH-00161,SIN-00161,,,,,,
VEH-00961,SIN-00961,,,,,,
VEH-00672,SIN-00672,,,,,,
VEH-00853,SIN-00853,,,,,,
VEH-00894,SIN-00894,,,,,,
VEH-00024,SIN-00024,,,,,,
VEH-00150,SIN-00150,,,,,,
VEH-00277,SIN-00277,,,,,,
VEH-00901,SIN-00901,,,,,,
VEH-00075,SIN-00075,,,,,,
VEH-00620,SIN-00620,,,,,,
VEH-00577,SIN-00577,,,,,,
VEH-00194,SIN-00194,,,,,,
VEH-00330,SIN-00330,,,,,,
VEH-00727,SIN-00727,,,,,,
VEH-00871,SIN-00871,,,,,,
VEH-00098,SIN-00098,,,,,,
VEH-00154,SIN-00154,,,,,,
VEH-00119,SIN-00119,,,,,,
VEH-00553,SIN-00553,,,,,,
VEH-00603,SIN-00603,,,,,,
VEH-00514,SIN-00514,,,,,,
VEH-00660,SIN-00660,,,,,,
VEH-00270,SIN-00270,,,,,,
VEH-00287,SIN-00287,,,,,,
VEH-00695,SIN-00695,,,,,,
VEH-00766,SIN-00766,,,,,,
VEH-00037,SIN-00037,,,,,,
VEH-00416,SIN-00416,,,,,,
VEH-00925,SIN-00925,,,,,,
VEH-00621,SIN-00621,,,,,,
VEH-00208,SIN-00208,,,,,,
VEH-00778,SIN-00778,,,,,,
VEH-00290,SIN-00290,,,,,,
VEH-00559,SIN-00559,,,,,,
VEH-00247,SIN-00247,,,,,,
VEH-00780,SIN-00780,,,,,,
VEH-00178,SIN-00178,,,,,,
VEH-00284,SIN-00284,,,,,,
VEH-00374,SIN-00374,,,,,,
VEH-00686,SIN-00686,,,,,,
VEH-00761,SIN-00761,,,,,,
VEH-00237,SIN-00237,,,,,,
VEH-00826,SIN-00826,,,,,,
VEH-00859,SIN-00859,,,,,,
VEH-00204,SIN-00204,,,,,,
VEH-00394,SIN-00394,,,,,,
VEH-00735,SIN-00735,,,,,,
VEH-00101,SIN-00101,,,,,,
VEH-00844,SIN-00844,,,,,,
VEH-00113,SIN-00113,,,,,,
VEH-00263,SIN-00263,,,,,,
VEH-00455,SIN-00455,,,,,,
VEH-00464,SIN-00464,,,,,,
VEH-00493,SIN-00493,,,,,,
