id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,perfil_riesgo
ASG-00208,Basico,4,Manta,4,3,False,394.4,
ASG-00212,Premium,6,Manta,1,2,False,616.2,
ASG-00213,Estandar,1,Quito,4,4,True,304.6,
ASG-00214,Estandar,4,Quito,3,2,False,372.0,
ASG-00216,Premium,9,Ambato,3,0,False,817.1,
ASG-00217,Premium,7,Guayaquil,4,0,False,645.5,
ASG-00219,Estandar,3,Ambato,4,5,False,352.9,
ASG-00222,Basico,2,Ambato,2,2,False,736.4,
ASG-00223,Basico,14,Quito,2,0,True,453.6,
ASG-00230,Basico,11,Quito,3,4,False,600.8,
ASG-00232,Premium,1,Quito,4,3,True,518.3,
ASG-00235,Basico,14,Loja,2,2,True,649.6,
ASG-00237,Basico,2,Cuenca,4,5,False,787.9,
ASG-00239,Premium,6,Cuenca,2,1,False,868.6,
ASG-00242,Basico,3,Ambato,4,1,True,408.5,
ASG-00247,Basico,9,Manta,2,1,True,823.8,
ASG-00249,Basico,14,Guayaquil,3,0,True,463.7,
ASG-00250,Basico,3,Manta,1,1,False,830.8,
ASG-00251,Premium,7,Guayaquil,4,4,False,441.5,
ASG-00254,Estandar,12,Quito,4,3,True,843.5,
ASG-00255,Premium,5,Quito,2,4,False,366.7,
ASG-00256,Estandar,4,Cuenca,1,0,True,551.9,
ASG-00257,Basico,8,Guayaquil,1,3,True,679.2,
ASG-00263,Estandar,9,Cuenca,2,5,False,888.5,
ASG-00267,Premium,14,Loja,3,2,True,779.6,
ASG-00268,Estandar,15,Manta,4,3,False,884.2,
ASG-00269,Estandar,12,Manta,3,4,False,780.7,
ASG-00270,Basico,7,Guayaquil,4,4,True,627.3,
ASG-00272,Basico,12,Manta,2,5,False,510.9,
ASG-00273,Premium,12,Cuenca,4,2,True,345.0,
ASG-00276,Basico,6,Cuenca,4,4,True,663.1,
ASG-00277,Basico,8,Cuenca,3,3,True,644.4,
ASG-00278,Basico,6,Manta,3,5,False,449.8,
ASG-00279,Premium,1,Loja,2,3,False,848.1,
ASG-00281,Estandar,4,Guayaquil,2,0,False,403.6,
ASG-00282,Basico,8,Guayaquil,3,5,False,725.7,
ASG-00284,Basico,4,Guayaquil,2,1,True,774.2,
ASG-00285,Premium,6,Ambato,3,3,True,667.2,
ASG-00289,Premium,7,Ambato,1,0,True,482.5,
ASG-00290,Premium,6,Loja,2,2,False,807.6,
ASG-00291,Estandar,4,Loja,3,1,False,668.7,
ASG-00292,Premium,9,Loja,2,4,True,402.7,
ASG-00295,Estandar,10,Loja,1,3,False,685.1,
ASG-00297,Premium,3,Manta,4,3,False,422.4,
ASG-00304,Basico,8,Quito,2,4,False,329.2,
ASG-00309,Premium,7,Cuenca,3,4,False,753.0,
ASG-00311,Premium,12,Cuenca,4,4,False,389.4,
ASG-00314,Estandar,8,Guayaquil,3,2,True,887.9,
ASG-00315,Basico,5,Loja,1,4,False,459.3,
ASG-00316,Basico,13,Ambato,2,5,True,650.1,
ASG-00317,Premium,9,Loja,4,1,True,318.9,
ASG-00320,Basico,12,Guayaquil,2,4,True,636.5,
ASG-00321,Basico,8,Ambato,4,2,True,575.8,
ASG-00323,Premium,4,Cuenca,3,1,False,762.7,
ASG-00324,Basico,4,Loja,4,2,False,509.3,
ASG-00325,Basico,5,Cuenca,1,4,False,837.5,
ASG-00327,Basico,2,Cuenca,4,5,False,748.4,
ASG-00328,Premium,4,Ambato,3,4,False,382.4,
ASG-00330,Basico,4,Loja,2,0,True,548.0,
ASG-00332,Estandar,8,Loja,2,2,False,471.2,
ASG-00333,Premium,15,Guayaquil,2,4,True,847.9,
ASG-00335,Basico,14,Cuenca,1,0,False,640.8,
ASG-00336,Premium,15,Cuenca,3,3,False,833.6,
ASG-00337,Premium,14,Ambato,4,2,True,785.3,
ASG-00339,Premium,12,Cuenca,3,4,True,405.3,
ASG-00341,Basico,2,Quito,2,3,False,861.5,
ASG-00342,Premium,5,Manta,2,3,False,872.4,
ASG-00343,Estandar,10,Loja,1,2,False,715.7,
ASG-00348,Basico,14,Quito,2,5,True,615.3,
ASG-00350,Basico,15,Ambato,2,4,True,398.7,
ASG-00351,Basico,8,Guayaquil,2,5,False,354.6,
ASG-00354,Premium,12,Quito,1,0,False,506.7,
ASG-00355,Premium,9,Guayaquil,1,3,True,472.3,
ASG-00356,Premium,13,Quito,4,2,False,569.1,
ASG-00357,Estandar,7,Guayaquil,2,5,False,371.2,
ASG-00359,Premium,5,Manta,4,4,False,794.0,
ASG-00361,Basico,13,Guayaquil,1,5,False,669.0,
ASG-00363,Basico,12,Guayaquil,2,5,True,541.4,
ASG-00364,Premium,9,Quito,1,1,False,440.5,
ASG-00366,Basico,9,Quito,4,2,False,336.6,
ASG-00368,Premium,6,Loja,4,4,False,717.8,
ASG-00371,Estandar,9,Ambato,2,3,True,453.0,
ASG-00373,Premium,1,Cuenca,4,5,True,824.2,
ASG-00374,Premium,13,Ambato,2,3,True,821.7,
ASG-00375,Estandar,5,Guayaquil,2,1,True,748.1,
ASG-00376,Estandar,15,Quito,2,3,True,631.2,
ASG-00377,Estandar,7,Manta,3,2,False,515.8,
ASG-00378,Estandar,8,Guayaquil,4,2,True,522.4,
ASG-00382,Estandar,12,Loja,4,3,True,739.7,
ASG-00383,Estandar,3,Quito,4,1,True,614.4,
ASG-00384,Premium,14,Loja,1,0,False,382.5,
ASG-00392,Basico,13,Guayaquil,1,3,False,526.3,
ASG-00394,Estandar,11,Cuenca,1,4,True,437.9,
ASG-00395,Basico,15,Ambato,4,2,True,854.5,
ASG-00396,Basico,15,Cuenca,1,1,False,309.4,
ASG-00399,Basico,12,Guayaquil,3,0,True,562.3,
