id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00031,ASG-00304,Vida,2025-06-11,2026-06-11,961.02,36713.1,364.63,Agente,Quito,Cancelada
POL-00034,ASG-00059,Hogar,2024-08-28,2025-08-28,898.37,25603.73,338.02,Digital,Quito,Cancelada
POL-00040,ASG-00351,Vida,2025-07-25,2026-07-25,1006.57,42795.13,590.96,Agente,Guayaquil,Cancelada
POL-00041,ASG-00016,Salud,2024-06-04,2025-06-04,796.55,17368.38,630.09,Broker,Quito,Vencida
POL-00044,ASG-00377,Salud,2024-09-26,2025-09-26,806.11,49969.07,559.79,Digital,Manta,Activa
POL-00047,ASG-00292,Hogar,2025-05-07,2026-05-07,1204.88,31858.6,334.7,Digital,Loja,Vencida
POL-00052,ASG-00394,Vehiculos,2025-02-17,2026-02-17,984.85,38741.11,755.76,Digital,Cuenca,Vencida
POL-00053,ASG-00250,Hogar,2024-08-05,2025-08-05,1289.32,44100.85,877.73,Agente,Manta,Cancelada
POL-00056,ASG-00249,Hogar,2024-10-30,2025-10-30,1820.06,39301.43,236.75,Directo,Guayaquil,Activa
POL-00059,ASG-00043,Hogar,2024-09-18,2025-09-18,1429.66,34201.0,241.43,Digital,Guayaquil,Cancelada
POL-00062,ASG-00176,Vehiculos,2025-01-28,2026-01-28,1979.86,24004.13,305.74,Agente,Loja,Activa
POL-00065,ASG-00333,Salud,2024-09-15,2025-09-15,1048.17,37509.44,702.46,Broker,Guayaquil,Vencida
POL-00067,ASG-00374,Vida,2025-07-01,2026-07-01,897.61,24322.49,832.86,Broker,Ambato,Vencida
POL-00072,ASG-00163,Salud,2025-02-01,2026-02-01,957.63,42753.8,536.69,Broker,Cuenca,Vencida
POL-00073,ASG-00395,Vehiculos,2024-05-27,2025-05-27,328.37,8038.97,409.75,Agente,Ambato,Activa
POL-00074,ASG-00204,Generales,2024-11-26,2025-11-26,787.03,37068.31,813.69,Directo,Quito,Cancelada
POL-00075,ASG-00206,Vehiculos,2025-04-08,2026-04-08,1388.91,29194.49,322.14,Agente,Cuenca,Vencida
POL-00079,ASG-00342,Salud,2024-11-22,2025-11-22,503.05,36855.53,761.2,Broker,Manta,Vencida
POL-00086,ASG-00284,Vida,2024-10-14,2025-10-14,681.68,16171.84,932.68,Digital,Guayaquil,Vencida
POL-00093,ASG-00106,Generales,2024-08-03,2025-08-03,1971.3,23891.71,968.95,Broker,Manta,Cancelada
POL-00097,ASG-00150,Hogar,2024-08-02,2025-08-02,1746.55,46671.89,514.36,Digital,Loja,Vencida
POL-00098,ASG-00232,Hogar,2024-08-12,2025-08-12,697.14,47459.96,308.89,Agente,Quito,Activa
POL-00099,ASG-00055,Salud,2025-03-20,2026-03-20,1064.26,19131.5,296.59,Digital,Guayaquil,Activa
POL-00103,ASG-00208,Vida,2024-08-18,2025-08-18,1245.12,29755.44,275.78,Agente,Manta,Activa
POL-00104,ASG-00063,Vehiculos,2025-07-27,2026-07-27,404.84,40143.2,377.83,Broker,Cuenca,Vencida
POL-00105,ASG-00191,Vehiculos,2024-06-29,2025-06-29,1289.95,16646.93,850.2,Agente,Ambato,Activa
POL-00106,ASG-00102,Vida,2025-02-17,2026-02-17,1675.81,9139.04,877.82,Digital,Loja,Activa
POL-00107,ASG-00022,Vida,2025-04-23,2026-04-23,386.08,46585.93,546.53,Directo,Manta,Vencida
POL-00108,ASG-00016,Vida,2024-12-26,2025-12-26,1461.46,12776.32,371.77,Broker,Quito,Vencida
POL-00109,ASG-00144,Vida,2024-10-16,2025-10-16,1801.82,6559.22,695.34,Broker,Manta,Cancelada
POL-00110,ASG-00152,Vida,2025-05-17,2026-05-17,1000.39,29780.99,248.78,Digital,Loja,Vencida
POL-00111,ASG-00071,Vida,2024-10-19,2025-10-19,639.08,44809.36,620.65,Agente,Quito,Vencida
POL-00112,ASG-00366,Hogar,2024-12-18,2025-12-18,1115.46,40164.58,475.23,Digital,Quito,Vencida
POL-00114,ASG-00242,Generales,2024-09-19,2025-09-19,907.64,31279.5,386.21,Broker,Ambato,Activa
POL-00115,ASG-00127,Salud,2024-09-28,2025-09-28,753.1,41732.83,933.81,Agente,Manta,Activa
POL-00116,ASG-00295,Vida,2025-01-21,2026-01-21,903.17,42765.0,876.18,Broker,Loja,Activa
POL-00119,ASG-00278,Hogar,2024-11-02,2025-11-02,598.45,6708.37,244.93,Broker,Manta,Activa
POL-00125,ASG-00341,Generales,2024-05-31,2025-05-31,1684.57,22027.28,787.2,Digital,Quito,Activa
POL-00126,ASG-00091,Vehiculos,2024-10-22,2025-10-22,1912.94,47691.42,513.28,Agente,Quito,Activa
POL-00127,ASG-00309,Hogar,2025-04-06,2026-04-06,1865.76,48538.93,376.72,Agente,Cuenca,Vencida
POL-00131,ASG-00212,Vida,2025-02-26,2026-02-26,1799.01,20805.4,500.28,Directo,Manta,Cancelada
POL-00134,ASG-00375,Vehiculos,2025-01-16,2026-01-16,1229.98,45415.59,274.48,Directo,Guayaquil,Cancelada
POL-00137,ASG-00145,Hogar,2025-01-03,2026-01-03,703.83,7233.59,657.42,Directo,Ambato,Activa
POL-00141,ASG-00190,Vida,2024-09-04,2025-09-04,927.98,25059.89,410.64,Directo,Manta,Vencida
POL-00142,ASG-00116,Hogar,2025-07-05,2026-07-05,1259.22,11800.88,757.18,Agente,Cuenca,Activa
POL-00143,ASG-00343,Hogar,2024-12-13,2025-12-13,1673.91,23629.4,805.17,Broker,Loja,Cancelada
POL-00144,ASG-00032,Vida,2025-02-02,2026-02-02,1691.29,23838.44,628.41,Directo,Ambato,Cancelada
POL-00145,ASG-00121,Vida,2024-08-02,2025-08-02,808.05,22766.2,883.15,Agente,Quito,Cancelada
POL-00148,ASG-00350,Vida,2024-06-12,2025-06-12,643.26,42015.38,318.3,Digital,Ambato,Vencida
POL-00151,ASG-00213,Salud,2025-07-21,2026-07-21,551.94,31457.04,806.7,Agente,Quito,Activa
POL-00154,ASG-00317,Generales,2025-06-27,2026-06-27,1457.38,23077.4,516.63,Digital,Loja,Cancelada
POL-00156,ASG-00156,Hogar,2024-08-31,2025-08-31,776.59,27122.86,756.95,Agente,Manta,Activa
POL-00158,ASG-00214,Generales,2024-06-02,2025-06-02,1397.44,13457.11,369.11,Directo,Quito,Cancelada
POL-00163,ASG-00016,Salud,2025-08-18,2026-08-18,933.19,31731.96,342.07,Directo,Quito,Cancelada
POL-00168,ASG-00130,Generales,2025-07-16,2026-07-16,1668.65,18745.69,973.62,Digital,Loja,Vencida
POL-00169,ASG-00193,Hogar,2025-01-15,2026-01-15,1080.3,14819.41,441.72,Directo,Manta,Cancelada
POL-00171,ASG-00332,Generales,2024-09-30,2025-09-30,1335.39,18431.42,286.48,Agente,Loja,Vencida
POL-00174,ASG-00164,Salud,2025-07-04,2026-07-04,1526.18,34493.03,997.98,Digital,Quito,Vencida
POL-00175,ASG-00208,Vida,2025-02-07,2026-02-07,1552.44,31236.07,995.8,Broker,Manta,Vencida
POL-00178,ASG-00066,Hogar,2025-07-08,2026-07-08,1532.82,30156.42,930.1,Digital,Cuenca,Cancelada
POL-00179,ASG-00046,Salud,2025-03-10,2026-03-10,903.98,38489.45,445.67,Digital,Cuenca,Vencida
POL-00181,ASG-00100,Generales,2024-12-09,2025-12-09,503.69,35631.4,623.87,Directo,Loja,Activa
POL-00183,ASG-00162,Salud,2025-03-09,2026-03-09,1624.2,26941.14,704.83,Broker,Manta,Vencida
POL-00185,ASG-00392,Salud,2025-03-29,2026-03-29,1132.28,39360.61,270.43,Directo,Guayaquil,Cancelada
POL-00187,ASG-00192,Vehiculos,2025-05-10,2026-05-10,1816.41,39058.15,624.83,Agente,Loja,Cancelada
POL-00190,ASG-00373,Generales,2024-11-24,2025-11-24,1313.83,20202.58,910.38,Broker,Cuenca,Vencida
POL-00194,ASG-00025,Vehiculos,2025-07-01,2026-07-01,1411.06,5888.38,751.8,Directo,Cuenca,Vencida
POL-00197,ASG-00054,Generales,2024-09-06,2025-09-06,1521.9,10298.06,291.21,Agente,Cuenca,Vencida
POL-00201,ASG-00343,Vida,2025-05-04,2026-05-04,553.55,9053.72,609.36,Agente,Loja,Vencida
POL-00203,ASG-00090,Vehiculos,2025-08-02,2026-08-02,1748.82,21209.66,741.41,Directo,Manta,Cancelada
POL-00205,ASG-00332,Salud,2025-07-28,2026-07-28,858.72,45253.74,964.07,Digital,Loja,Cancelada
POL-00209,ASG-00348,Vida,2024-11-15,2025-11-15,608.14,22088.79,486.88,Agente,Quito,Cancelada
POL-00212,ASG-00174,Generales,2024-12-19,2025-12-19,1189.28,36526.11,276.19,Broker,Guayaquil,Vencida
POL-00213,ASG-00178,Vida,2024-12-15,2025-12-15,552.71,42189.7,913.65,Agente,Loja,Activa
POL-00214,ASG-00330,Salud,2025-06-11,2026-06-11,1159.46,26118.0,596.67,Broker,Loja,Activa
POL-00216,ASG-00330,Vida,2025-07-24,2026-07-24,985.57,15575.0,567.28,Directo,Loja,Activa
POL-00217,ASG-00256,Vida,2024-08-05,2025-08-05,837.3,49130.18,796.19,Agente,Cuenca,Activa
POL-00223,ASG-00072,Vida,2025-05-01,2026-05-01,481.83,32488.33,350.03,Directo,Ambato,Activa
POL-00226,ASG-00222,Generales,2025-01-15,2026-01-15,1120.98,27874.98,936.93,Broker,Ambato,Cancelada
POL-00228,ASG-00197,Vida,2025-02-02,2026-02-02,1965.15,46215.96,809.9,Digital,Cuenca,Vencida
POL-00229,ASG-00176,Hogar,2025-06-02,2026-06-02,1069.84,11001.73,530.2,Digital,Loja,Cancelada
POL-00230,ASG-00281,Hogar,2024-08-15,2025-08-15,1510.19,47098.04,706.07,Broker,Guayaquil,Activa
POL-00231,ASG-00320,Hogar,2025-08-22,2026-08-22,1467.24,46453.63,306.14,Broker,Guayaquil,Cancelada
POL-00232,ASG-00278,Hogar,2024-09-16,2025-09-16,1507.6,39234.88,649.82,Directo,Manta,Cancelada
POL-00235,ASG-00350,Hogar,2025-05-18,2026-05-18,548.93,7791.48,827.49,Broker,Ambato,Cancelada
POL-00241,ASG-00230,Salud,2025-04-17,2026-04-17,1971.87,8351.1,969.98,Agente,Quito,Vencida
POL-00242,ASG-00021,Vida,2024-05-29,2025-05-29,774.49,16890.78,328.74,Digital,Ambato,Activa
POL-00243,ASG-00170,Vida,2025-02-28,2026-02-28,1506.47,11966.26,322.96,Digital,Cuenca,Cancelada
POL-00244,ASG-00027,Generales,2025-05-20,2026-05-20,1733.34,18551.97,831.93,Digital,Quito,Activa
POL-00247,ASG-00185,Hogar,2025-05-16,2026-05-16,671.36,38869.51,624.4,Agente,Loja,Activa
POL-00249,ASG-00350,Hogar,2025-03-15,2026-03-15,948.33,40829.3,290.7,Digital,Ambato,Cancelada
POL-00250,ASG-00371,Hogar,2025-07-02,2026-07-02,342.0,28259.05,816.4,Directo,Ambato,Vencida
POL-00251,ASG-00023,Hogar,2024-10-14,2025-10-14,1827.08,13663.06,611.12,Agente,Guayaquil,Activa
POL-00254,ASG-00037,Salud,2025-04-10,2026-04-10,340.38,37259.07,230.31,Agente,Manta,Activa
POL-00255,ASG-00092,Hogar,2025-06-27,2026-06-27,1248.74,30873.3,382.12,Digital,Manta,Vencida
POL-00259,ASG-00196,Vida,2024-08-29,2025-08-29,1697.61,6386.86,325.06,Broker,Guayaquil,Activa
POL-00260,ASG-00383,Vida,2025-03-13,2026-03-13,1654.51,43226.03,435.98,Broker,Quito,Vencida
POL-00264,ASG-00095,Salud,2024-08-03,2025-08-03,1348.7,16373.38,291.7,Agente,Loja,Cancelada
POL-00265,ASG-00237,Generales,2024-09-11,2025-09-11,424.35,35225.84,400.55,Broker,Cuenca,Cancelada
POL-00276,ASG-00257,Generales,2025-01-20,2026-01-20,453.94,21373.95,208.47,Broker,Guayaquil,Cancelada
POL-00279,ASG-00136,Hogar,2024-08-31,2025-08-31,697.83,35086.35,614.31,Digital,Guayaquil,Vencida
POL-00282,ASG-00335,Vida,2025-06-08,2026-06-08,921.0,34400.14,868.38,Digital,Cuenca,Vencida
POL-00284,ASG-00004,Generales,2024-10-27,2025-10-27,1799.46,24795.44,383.99,Digital,Manta,Activa
POL-00285,ASG-00077,Salud,2024-05-28,2025-05-28,567.51,32090.91,853.56,Broker,Guayaquil,Vencida
POL-00286,ASG-00170,Vehiculos,2025-03-11,2026-03-11,1118.58,26546.66,368.56,Broker,Cuenca,Cancelada
POL-00288,ASG-00263,Vehiculos,2025-03-04,2026-03-04,1814.36,11608.93,333.07,Broker,Cuenca,Cancelada
POL-00289,ASG-00208,Generales,2024-12-16,2025-12-16,1947.71,33693.02,902.81,Digital,Manta,Activa
POL-00290,ASG-00111,Vida,2024-08-16,2025-08-16,1331.09,26213.61,585.33,Broker,Loja,Vencida
POL-00292,ASG-00371,Hogar,2025-01-05,2026-01-05,1868.0,31844.0,255.07,Directo,Ambato,Vencida
POL-00294,ASG-00311,Vehiculos,2024-08-17,2025-08-17,601.62,45572.37,679.85,Agente,Cuenca,Activa
POL-00295,ASG-00247,Salud,2024-07-18,2025-07-18,1833.37,29267.87,200.96,Directo,Manta,Cancelada
POL-00296,ASG-00216,Hogar,2024-07-29,2025-07-29,1787.2,36393.93,543.17,Directo,Ambato,Vencida
POL-00297,ASG-00180,Generales,2024-11-17,2025-11-17,1667.86,45853.65,869.75,Agente,Manta,Vencida
POL-00299,ASG-00279,Vida,2025-06-02,2026-06-02,738.27,5246.13,794.92,Agente,Loja,Cancelada
POL-00302,ASG-00188,Generales,2024-07-19,2025-07-19,768.45,35627.26,803.98,Directo,Quito,Cancelada
POL-00304,ASG-00177,Vida,2024-09-27,2025-09-27,1550.83,43474.95,727.43,Broker,Ambato,Vencida
POL-00305,ASG-00359,Salud,2024-12-30,2025-12-30,470.47,27875.46,828.86,Agente,Manta,Activa
POL-00306,ASG-00200,Vehiculos,2024-10-10,2025-10-10,1667.43,42046.5,577.33,Directo,Quito,Activa
POL-00309,ASG-00254,Vida,2024-12-16,2025-12-16,318.21,43275.54,944.61,Digital,Quito,Activa
POL-00310,ASG-00018,Generales,2025-07-14,2026-07-14,1167.93,36430.24,692.15,Agente,Manta,Vencida
POL-00315,ASG-00090,Vida,2025-04-25,2026-04-25,1160.6,30138.38,602.54,Digital,Manta,Activa
POL-00316,ASG-00263,Hogar,2025-05-31,2026-05-31,1789.39,41591.63,659.92,Directo,Cuenca,Vencida
POL-00319,ASG-00113,Salud,2024-08-23,2025-08-23,1660.27,23559.17,482.48,Agente,Guayaquil,Cancelada
POL-00321,ASG-00284,Salud,2025-03-19,2026-03-19,1110.14,20909.21,915.45,Digital,Guayaquil,Activa
POL-00322,ASG-00383,Salud,2024-09-27,2025-09-27,1148.3,13984.99,788.34,Digital,Quito,Activa
POL-00325,ASG-00191,Generales,2024-06-25,2025-06-25,836.21,45415.45,904.79,Digital,Ambato,Vencida
POL-00327,ASG-00217,Vida,2025-02-19,2026-02-19,1897.41,6465.32,477.83,Broker,Guayaquil,Vencida
POL-00328,ASG-00062,Generales,2024-09-19,2025-09-19,1082.12,36014.47,209.46,Broker,Cuenca,Vencida
POL-00340,ASG-00315,Hogar,2024-07-03,2025-07-03,1088.38,48046.75,894.61,Digital,Loja,Vencida
POL-00341,ASG-00324,Generales,2024-06-25,2025-06-25,1271.78,43200.53,257.08,Broker,Loja,Vencida
POL-00342,ASG-00117,Hogar,2025-05-08,2026-05-08,838.69,18111.04,413.98,Directo,Cuenca,Vencida
POL-00344,ASG-00012,Salud,2024-06-01,2025-06-01,1537.21,34791.01,952.35,Agente,Loja,Activa
POL-00345,ASG-00086,Vida,2025-02-20,2026-02-20,475.12,7870.66,902.95,Agente,Guayaquil,Activa
POL-00347,ASG-00336,Vida,2025-01-21,2026-01-21,825.93,16132.84,427.34,Broker,Cuenca,Activa
POL-00353,ASG-00147,Vida,2025-03-30,2026-03-30,1209.67,35949.65,593.55,Directo,Loja,Vencida
POL-00354,ASG-00005,Vida,2024-11-23,2025-11-23,1656.54,31865.17,837.41,Digital,Quito,Activa
POL-00356,ASG-00113,Hogar,2025-02-12,2026-02-12,434.66,33139.54,613.29,Digital,Guayaquil,Vencida
POL-00357,ASG-00333,Generales,2025-07-24,2026-07-24,1674.97,23580.67,882.79,Broker,Guayaquil,Activa
POL-00359,ASG-00165,Vehiculos,2024-12-24,2025-12-24,558.65,48637.23,217.7,Agente,Guayaquil,Vencida
POL-00360,ASG-00138,Salud,2024-05-31,2025-05-31,1515.83,37719.82,386.25,Broker,Manta,Activa
POL-00362,ASG-00357,Vehiculos,2025-01-04,2026-01-04,861.42,42959.58,961.32,Agente,Guayaquil,Vencida
POL-00364,ASG-00007,Vehiculos,2025-02-08,2026-02-08,1956.82,37160.71,507.84,Directo,Guayaquil,Activa
POL-00365,ASG-00378,Vehiculos,2025-05-18,2026-05-18,638.61,38089.53,275.17,Broker,Guayaquil,Vencida
POL-00368,ASG-00121,Vida,2024-09-04,2025-09-04,851.67,12531.22,420.88,Agente,Quito,Vencida
POL-00371,ASG-00031,Vehiculos,2024-11-07,2025-11-07,904.38,11926.33,629.08,Agente,Loja,Activa
POL-00372,ASG-00250,Salud,2024-06-30,2025-06-30,838.46,30125.77,715.72,Digital,Manta,Vencida
POL-00373,ASG-00376,Salud,2025-05-29,2026-05-29,336.3,21999.6,779.52,Digital,Quito,Activa
POL-00378,ASG-00123,Hogar,2025-06-17,2026-06-17,1525.71,34623.02,631.17,Directo,Cuenca,Activa
POL-00379,ASG-00269,Vida,2025-03-30,2026-03-30,1601.75,11935.92,426.5,Directo,Manta,Cancelada
POL-00380,ASG-00165,Vehiculos,2025-03-18,2026-03-18,463.64,34650.1,235.02,Broker,Guayaquil,Activa
POL-00381,ASG-00017,Salud,2025-01-21,2026-01-21,481.99,13622.75,225.45,Directo,Loja,Cancelada
POL-00382,ASG-00251,Generales,2024-09-04,2025-09-04,1360.75,31563.54,239.27,Broker,Guayaquil,Cancelada
POL-00383,ASG-00368,Vehiculos,2025-07-15,2026-07-15,322.25,46446.58,724.6,Agente,Loja,Vencida
POL-00385,ASG-00030,Generales,2024-11-19,2025-11-19,751.89,6829.39,256.31,Digital,Cuenca,Activa
POL-00386,ASG-00111,Generales,2024-07-23,2025-07-23,465.1,37632.74,625.33,Broker,Loja,Activa
POL-00387,ASG-00270,Salud,2024-08-12,2025-08-12,1269.05,47637.65,646.74,Directo,Guayaquil,Cancelada
POL-00390,ASG-00162,Generales,2024-08-25,2025-08-25,1985.49,19609.43,497.38,Directo,Manta,Cancelada
POL-00392,ASG-00232,Vida,2024-09-15,2025-09-15,1931.7,5008.8,227.73,Digital,Quito,Cancelada
POL-00394,ASG-00162,Vehiculos,2024-07-24,2025-07-24,1611.59,47450.66,857.87,Broker,Manta,Activa
POL-00399,ASG-00179,Vida,2024-07-30,2025-07-30,1008.09,44052.4,895.83,Broker,Cuenca,Cancelada
POL-00401,ASG-00269,Vehiculos,2025-04-27,2026-04-27,842.84,30421.08,461.47,Broker,Manta,Activa
POL-00404,ASG-00382,Vehiculos,2024-08-19,2025-08-19,1231.86,16815.11,518.82,Directo,Loja,Cancelada
POL-00405,ASG-00067,Salud,2025-06-26,2026-06-26,1117.57,13914.88,516.26,Broker,Cuenca,Cancelada
POL-00406,ASG-00316,Generales,2025-08-02,2026-08-02,718.62,8223.98,821.42,Digital,Ambato,Cancelada
POL-00408,ASG-00177,Generales,2025-06-12,2026-06-12,1414.2,39635.66,335.4,Digital,Ambato,Cancelada
POL-00410,ASG-00192,Salud,2025-04-21,2026-04-21,1588.15,43374.39,289.9,Agente,Loja,Activa
POL-00413,ASG-00268,Hogar,2025-01-19,2026-01-19,1232.96,33036.89,993.84,Agente,Manta,Vencida
POL-00415,ASG-00239,Vehiculos,2024-09-04,2025-09-04,413.22,34716.78,730.39,Digital,Cuenca,Activa
POL-00416,ASG-00010,Hogar,2025-04-15,2026-04-15,1774.6,34223.5,384.93,Directo,Cuenca,Cancelada
POL-00418,ASG-00102,Generales,2024-11-27,2025-11-27,1943.55,30230.94,769.98,Agente,Loja,Activa
POL-00419,ASG-00272,Hogar,2024-07-21,2025-07-21,867.07,22702.99,325.6,Digital,Manta,Cancelada
POL-00421,ASG-00321,Hogar,2024-10-07,2025-10-07,1793.75,45068.09,851.89,Agente,Ambato,Cancelada
POL-00422,ASG-00144,Salud,2025-05-15,2026-05-15,557.9,45372.89,725.55,Agente,Manta,Cancelada
POL-00425,ASG-00278,Salud,2025-07-12,2026-07-12,651.49,11235.94,633.08,Broker,Manta,Activa
POL-00427,ASG-00290,Salud,2025-05-23,2026-05-23,839.74,30080.31,958.88,Agente,Loja,Activa
POL-00428,ASG-00163,Salud,2024-07-17,2025-07-17,1536.04,39444.58,904.11,Directo,Cuenca,Vencida
POL-00429,ASG-00156,Vida,2025-01-07,2026-01-07,1567.54,41976.43,709.48,Digital,Manta,Activa
POL-00434,ASG-00139,Vida,2024-12-22,2025-12-22,678.34,35210.26,362.27,Broker,Cuenca,Activa
POL-00435,ASG-00091,Vida,2024-06-17,2025-06-17,1774.12,27047.43,459.92,Directo,Quito,Activa
POL-00436,ASG-00219,Vida,2024-07-13,2025-07-13,1619.57,32356.85,859.46,Digital,Ambato,Vencida
POL-00437,ASG-00314,Generales,2024-10-14,2025-10-14,1309.47,28635.37,900.63,Agente,Guayaquil,Cancelada
POL-00438,ASG-00056,Vida,2024-11-23,2025-11-23,1076.73,44499.51,902.22,Broker,Ambato,Cancelada
POL-00439,ASG-00276,Vida,2025-04-23,2026-04-23,1972.51,6766.32,509.92,Agente,Cuenca,Activa
POL-00440,ASG-00150,Vida,2025-01-25,2026-01-25,976.67,18704.94,862.1,Directo,Loja,Activa
POL-00441,ASG-00217,Hogar,2025-06-02,2026-06-02,1342.33,7454.6,613.58,Broker,Guayaquil,Vencida
POL-00443,ASG-00212,Hogar,2025-03-21,2026-03-21,1066.51,13049.54,672.25,Broker,Manta,Vencida
POL-00445,ASG-00376,Vehiculos,2025-04-17,2026-04-17,455.03,36780.2,707.26,Agente,Quito,Cancelada
POL-00446,ASG-00363,Vida,2024-11-10,2025-11-10,1535.69,48883.61,689.66,Broker,Guayaquil,Vencida
POL-00448,ASG-00075,Salud,2025-01-25,2026-01-25,1607.57,7308.97,446.45,Directo,Ambato,Vencida
POL-00449,ASG-00321,Salud,2025-01-30,2026-01-30,499.84,10920.7,362.28,Digital,Ambato,Activa
POL-00452,ASG-00281,Hogar,2024-10-22,2025-10-22,1353.6,30089.69,860.2,Agente,Guayaquil,Activa
POL-00454,ASG-00045,Vehiculos,2024-05-31,2025-05-31,485.11,49718.08,329.07,Digital,Ambato,Cancelada
POL-00455,ASG-00339,Generales,2024-11-16,2025-11-16,1272.88,30297.97,973.03,Digital,Cuenca,Activa
POL-00461,ASG-00374,Vida,2024-08-21,2025-08-21,1137.26,13095.83,687.52,Digital,Ambato,Activa
POL-00464,ASG-00328,Salud,2024-07-04,2025-07-04,1473.03,16448.79,254.27,Digital,Ambato,Cancelada
POL-00465,ASG-00282,Hogar,2025-08-03,2026-08-03,1603.96,10122.65,466.63,Directo,Guayaquil,Cancelada
POL-00466,ASG-00292,Generales,2025-01-30,2026-01-30,1932.19,42441.92,355.21,Digital,Loja,Cancelada
POL-00470,ASG-00034,Salud,2025-05-24,2026-05-24,776.78,6402.79,986.9,Broker,Guayaquil,Cancelada
POL-00471,ASG-00311,Vida,2025-02-09,2026-02-09,618.54,10258.01,825.88,Digital,Cuenca,Cancelada
POL-00475,ASG-00175,Vida,2024-08-28,2025-08-28,1545.15,28563.26,820.43,Broker,Loja,Activa
POL-00477,ASG-00160,Vehiculos,2025-02-18,2026-02-18,1467.99,31742.94,269.66,Directo,Ambato,Activa
POL-00478,ASG-00053,Generales,2024-12-05,2025-12-05,1602.51,38549.96,217.98,Digital,Loja,Cancelada
POL-00481,ASG-00278,Hogar,2024-11-30,2025-11-30,1233.92,17197.34,954.62,Digital,Manta,Cancelada
POL-00486,ASG-00291,Salud,2025-01-13,2026-01-13,457.96,41105.77,758.88,Agente,Loja,Vencida
POL-00487,ASG-00159,Vida,2025-02-13,2026-02-13,1099.93,47635.17,314.98,Digital,Quito,Vencida
POL-00488,ASG-00201,Salud,2024-06-21,2025-06-21,1489.34,34933.13,831.02,Digital,Loja,Vencida
POL-00489,ASG-00250,Vehiculos,2024-08-22,2025-08-22,411.12,10079.92,582.92,Broker,Manta,Vencida
POL-00491,ASG-00285,Vehiculos,2024-07-05,2025-07-05,1647.13,28973.55,520.65,Directo,Ambato,Activa
POL-00493,ASG-00356,Generales,2024-08-07,2025-08-07,1032.95,49109.24,653.77,Digital,Quito,Cancelada
POL-00495,ASG-00304,Generales,2024-11-12,2025-11-12,1086.94,29978.95,857.62,Broker,Quito,Vencida
POL-00496,ASG-00208,Vehiculos,2025-06-01,2026-06-01,1317.04,35847.89,677.12,Directo,Manta,Vencida
POL-00497,ASG-00254,Vehiculos,2024-08-12,2025-08-12,453.91,41766.51,909.81,Agente,Quito,Activa
POL-00498,ASG-00339,Salud,2024-06-28,2025-06-28,1070.06,18117.65,692.46,Directo,Cuenca,Activa
