id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion,nombre_pdf
DOC-000058,SIN-00018,Foto evidencia,True,True,2025-03-29,False,Sin observaciones,
DOC-000059,SIN-00018,Informe perito,True,True,2025-03-28,False,Sin observaciones,
DOC-000060,SIN-00018,Factura taller,True,True,2025-03-30,False,Sin observaciones,
DOC-000061,SIN-00018,Cedula asegurado,True,True,2025-03-31,False,Sin observaciones,
DOC-000062,SIN-00019,Factura taller,False,True,2025-02-05,False,Sin observaciones,
DOC-000063,SIN-00019,Foto evidencia,False,False,2025-02-03,True,Fecha previa al evento detectada,
DOC-000068,SIN-00021,Denuncia policial,True,True,2025-02-21,False,Sin observaciones,
DOC-000069,SIN-00021,Foto evidencia,True,True,2025-02-24,False,Sin observaciones,
DOC-000070,SIN-00021,Informe perito,True,True,2025-02-21,False,Sin observaciones,
DOC-000071,SIN-00021,Factura taller,True,True,2025-02-25,False,Sin observaciones,
DOC-000072,SIN-00021,Cedula asegurado,True,True,2025-02-22,False,Sin observaciones,
DOC-000081,SIN-00024,Foto evidencia,True,True,2025-07-27,False,Sin observaciones,
DOC-000082,SIN-00024,Informe perito,True,True,2025-07-26,False,Sin observaciones,
DOC-000083,SIN-00024,Denuncia policial,True,True,2025-07-28,False,Sin observaciones,
DOC-000084,SIN-00024,Factura taller,True,True,2025-07-26,False,Sin observaciones,
DOC-000090,SIN-00026,Factura taller,True,True,2025-07-17,False,Sin observaciones,
DOC-000091,SIN-00026,Foto evidencia,True,True,2025-07-20,False,Sin observaciones,
DOC-000092,SIN-00026,Cedula asegurado,True,True,2025-07-19,False,Sin observaciones,
DOC-000093,SIN-00026,Informe perito,True,True,2025-07-18,False,Sin observaciones,
DOC-000094,SIN-00026,Denuncia policial,True,True,2025-07-20,False,Sin observaciones,
DOC-000102,SIN-00029,Cedula asegurado,True,True,2025-06-22,False,Sin observaciones,
DOC-000103,SIN-00029,Denuncia policial,True,True,2025-06-21,False,Sin observaciones,
DOC-000114,SIN-00032,Denuncia policial,True,True,2025-03-27,False,Sin observaciones,
DOC-000115,SIN-00032,Factura taller,True,True,2025-03-25,False,Sin observaciones,
DOC-000116,SIN-00032,Foto evidencia,True,True,2025-03-23,False,Sin observaciones,
DOC-000117,SIN-00032,Cedula asegurado,True,True,2025-03-26,False,Sin observaciones,
DOC-000122,SIN-00034,Informe perito,False,False,2024-11-17,True,Fecha previa al evento detectada,
DOC-000123,SIN-00034,Foto evidencia,False,True,2024-11-19,False,Sin observaciones,
DOC-000124,SIN-00034,Factura taller,False,False,2024-11-18,True,Fecha previa al evento detectada,
DOC-000125,SIN-00034,Denuncia policial,False,False,2024-11-18,True,Fecha previa al evento detectada,
DOC-000126,SIN-00034,Cedula asegurado,False,True,2024-11-17,False,Sin observaciones,
DOC-000127,SIN-00035,Cedula asegurado,True,True,2024-10-04,False,Sin observaciones,
DOC-000128,SIN-00035,Informe perito,True,True,2024-10-01,False,Sin observaciones,
DOC-000129,SIN-00035,Denuncia policial,True,True,2024-10-05,False,Sin observaciones,
DOC-000130,SIN-00035,Foto evidencia,True,True,2024-10-05,False,Sin observaciones,
DOC-000131,SIN-00035,Factura taller,True,True,2024-09-30,False,Sin observaciones,
DOC-000132,SIN-00036,Foto evidencia,True,True,2025-04-01,False,Sin observaciones,
DOC-000133,SIN-00036,Factura taller,True,True,2025-03-29,False,Sin observaciones,
DOC-000134,SIN-00036,Cedula asegurado,True,True,2025-03-29,False,Sin observaciones,
DOC-000135,SIN-00036,Denuncia policial,True,True,2025-04-02,False,Sin observaciones,
DOC-000136,SIN-00036,Informe perito,True,True,2025-03-31,False,Sin observaciones,
DOC-000137,SIN-00037,Denuncia policial,True,True,2025-08-11,False,Sin observaciones,
DOC-000138,SIN-00037,Foto evidencia,True,True,2025-08-10,False,Sin observaciones,
DOC-000162,SIN-00044,Informe perito,False,True,2024-05-25,False,Sin observaciones,
DOC-000163,SIN-00044,Factura taller,False,True,2024-05-28,False,Sin observaciones,
DOC-000164,SIN-00044,Denuncia policial,False,True,2024-05-26,False,Sin observaciones,
DOC-000165,SIN-00044,Foto evidencia,False,False,2024-05-25,True,Fecha previa al evento detectada,
DOC-000166,SIN-00044,Cedula asegurado,False,False,2024-05-28,True,Fecha previa al evento detectada,
DOC-000170,SIN-00046,Factura taller,True,True,2024-12-16,False,Sin observaciones,
DOC-000171,SIN-00046,Informe perito,True,True,2024-12-17,False,Sin observaciones,
DOC-000172,SIN-00046,Denuncia policial,True,True,2024-12-18,False,Sin observaciones,
DOC-000181,SIN-00049,Informe perito,True,True,2025-03-31,False,Sin observaciones,
DOC-000182,SIN-00049,Cedula asegurado,True,True,2025-03-30,False,Sin observaciones,
DOC-000183,SIN-00049,Foto evidencia,True,True,2025-03-30,False,Sin observaciones,
DOC-000184,SIN-00049,Factura taller,True,True,2025-03-31,False,Sin observaciones,
DOC-000185,SIN-00049,Denuncia policial,True,True,2025-03-30,False,Sin observaciones,
DOC-000186,SIN-00050,Informe perito,True,True,2025-07-20,False,Sin observaciones,
DOC-000187,SIN-00050,Foto evidencia,True,True,2025-07-18,False,Sin observaciones,
DOC-000192,SIN-00052,Cedula asegurado,False,True,2024-07-24,False,Sin observaciones,
DOC-000193,SIN-00052,Informe perito,False,True,2024-07-23,False,Sin observaciones,
DOC-000194,SIN-00052,Factura taller,False,True,2024-07-20,False,Sin observaciones,
DOC-000195,SIN-00052,Foto evidencia,False,True,2024-07-24,False,Sin observaciones,
DOC-000196,SIN-00052,Denuncia policial,False,True,2024-07-22,False,Sin observaciones,
DOC-000197,SIN-00053,Factura taller,False,True,2025-04-27,False,Sin observaciones,
DOC-000198,SIN-00053,Cedula asegurado,False,True,2025-04-27,False,Sin observaciones,
DOC-000199,SIN-00053,Foto evidencia,False,True,2025-04-27,False,Sin observaciones,
DOC-000200,SIN-00053,Denuncia policial,False,True,2025-04-27,False,Sin observaciones,
DOC-000201,SIN-00053,Informe perito,False,True,2025-04-24,False,Sin observaciones,
DOC-000202,SIN-00054,Factura taller,True,True,2025-05-13,False,Sin observaciones,
DOC-000203,SIN-00054,Denuncia policial,True,True,2025-05-12,False,Sin observaciones,
DOC-000204,SIN-00054,Foto evidencia,True,True,2025-05-15,False,Sin observaciones,
DOC-000207,SIN-00056,Denuncia policial,True,True,2024-11-11,False,Sin observaciones,
DOC-000208,SIN-00056,Factura taller,True,True,2024-11-12,False,Sin observaciones,
DOC-000209,SIN-00056,Informe perito,True,True,2024-11-11,False,Sin observaciones,
DOC-000210,SIN-00056,Foto evidencia,True,True,2024-11-09,False,Sin observaciones,
DOC-000211,SIN-00056,Cedula asegurado,True,True,2024-11-09,False,Sin observaciones,
DOC-000212,SIN-00057,Factura taller,True,True,2025-05-22,False,Sin observaciones,
DOC-000213,SIN-00057,Foto evidencia,True,True,2025-05-20,False,Sin observaciones,
DOC-000214,SIN-00057,Denuncia policial,True,True,2025-05-20,False,Sin observaciones,
DOC-000217,SIN-00059,Denuncia policial,False,True,2025-04-27,False,Sin observaciones,
DOC-000218,SIN-00059,Informe perito,False,True,2025-04-29,False,Sin observaciones,
DOC-000219,SIN-00059,Foto evidencia,False,True,2025-04-29,False,Sin observaciones,
DOC-000220,SIN-00059,Cedula asegurado,False,True,2025-04-27,False,Sin observaciones,
DOC-000225,SIN-00061,Cedula asegurado,True,True,2025-05-14,False,Sin observaciones,
DOC-000226,SIN-00061,Informe perito,True,True,2025-05-19,False,Sin observaciones,
DOC-000227,SIN-00061,Denuncia policial,True,True,2025-05-16,False,Sin observaciones,
DOC-000228,SIN-00061,Foto evidencia,True,True,2025-05-17,False,Sin observaciones,
DOC-000229,SIN-00062,Cedula asegurado,True,True,2025-04-20,False,Sin observaciones,
DOC-000230,SIN-00062,Factura taller,True,True,2025-04-19,False,Sin observaciones,
DOC-000231,SIN-00062,Foto evidencia,True,True,2025-04-15,False,Sin observaciones,
DOC-000232,SIN-00062,Informe perito,True,True,2025-04-17,False,Sin observaciones,
DOC-000233,SIN-00063,Cedula asegurado,False,True,2025-05-13,False,Sin observaciones,
DOC-000234,SIN-00063,Foto evidencia,False,True,2025-05-15,False,Sin observaciones,
DOC-000235,SIN-00063,Informe perito,False,True,2025-05-15,False,Sin observaciones,
DOC-000236,SIN-00063,Factura taller,False,True,2025-05-17,False,Sin observaciones,
DOC-000237,SIN-00064,Denuncia policial,True,True,2024-10-26,False,Sin observaciones,
DOC-000238,SIN-00064,Foto evidencia,True,True,2024-10-24,False,Sin observaciones,
DOC-000239,SIN-00064,Cedula asegurado,True,True,2024-10-26,False,Sin observaciones,
DOC-000240,SIN-00064,Informe perito,True,True,2024-10-28,False,Sin observaciones,
DOC-000241,SIN-00065,Informe perito,False,False,2025-04-07,True,Fecha previa al evento detectada,
DOC-000242,SIN-00065,Factura taller,False,False,2025-04-11,True,Fecha previa al evento detectada,
DOC-000243,SIN-00065,Denuncia policial,False,False,2025-04-07,True,Fecha previa al evento detectada,
DOC-000244,SIN-00065,Foto evidencia,False,False,2025-04-08,True,Fecha previa al evento detectada,
DOC-000269,SIN-00073,Denuncia policial,True,True,2025-02-19,False,Sin observaciones,
DOC-000270,SIN-00073,Foto evidencia,True,True,2025-02-15,False,Sin observaciones,
DOC-000271,SIN-00073,Informe perito,True,True,2025-02-16,False,Sin observaciones,
DOC-000272,SIN-00073,Cedula asegurado,True,True,2025-02-18,False,Sin observaciones,
DOC-000278,SIN-00075,Foto evidencia,True,True,2025-07-28,False,Sin observaciones,
DOC-000279,SIN-00075,Denuncia policial,True,True,2025-07-27,False,Sin observaciones,
DOC-000283,SIN-00077,Denuncia policial,False,True,2024-07-30,False,Sin observaciones,
DOC-000284,SIN-00077,Factura taller,False,True,2024-07-29,False,Sin observaciones,
DOC-000285,SIN-00077,Informe perito,False,True,2024-07-28,False,Sin observaciones,
DOC-000288,SIN-00079,Foto evidencia,True,True,2024-08-16,False,Sin observaciones,
DOC-000289,SIN-00079,Factura taller,True,True,2024-08-18,False,Sin observaciones,
DOC-000296,SIN-00083,Cedula asegurado,True,True,2024-12-27,False,Sin observaciones,
DOC-000297,SIN-00083,Informe perito,True,True,2024-12-27,False,Sin observaciones,
DOC-000298,SIN-00083,Foto evidencia,True,True,2024-12-23,False,Sin observaciones,
DOC-000299,SIN-00083,Denuncia policial,True,True,2024-12-22,False,Sin observaciones,
DOC-000300,SIN-00083,Factura taller,True,True,2024-12-27,False,Sin observaciones,
DOC-000304,SIN-00085,Informe perito,False,False,2025-01-23,True,Fecha previa al evento detectada,
DOC-000305,SIN-00085,Factura taller,False,False,2025-01-23,True,Fecha previa al evento detectada,
DOC-000306,SIN-00085,Denuncia policial,False,True,2025-01-24,False,Sin observaciones,
DOC-000307,SIN-00085,Cedula asegurado,False,True,2025-01-24,False,Sin observaciones,
DOC-000308,SIN-00085,Foto evidencia,False,False,2025-01-26,True,Fecha previa al evento detectada,
DOC-000320,SIN-00089,Informe perito,True,True,2025-03-21,False,Sin observaciones,
DOC-000321,SIN-00089,Factura taller,True,True,2025-03-24,False,Sin observaciones,
DOC-000322,SIN-00089,Denuncia policial,True,True,2025-03-25,False,Sin observaciones,
DOC-000323,SIN-00090,Cedula asegurado,True,True,2024-08-01,False,Sin observaciones,
DOC-000324,SIN-00090,Foto evidencia,True,True,2024-07-31,False,Sin observaciones,
DOC-000325,SIN-00090,Denuncia policial,True,True,2024-08-02,False,Sin observaciones,
DOC-000326,SIN-00090,Factura taller,True,True,2024-07-31,False,Sin observaciones,
DOC-000327,SIN-00090,Informe perito,True,True,2024-08-02,False,Sin observaciones,
DOC-000328,SIN-00091,Cedula asegurado,True,True,2025-02-16,False,Sin observaciones,
DOC-000329,SIN-00091,Factura taller,True,True,2025-02-17,False,Sin observaciones,
DOC-000330,SIN-00091,Foto evidencia,True,True,2025-02-15,False,Sin observaciones,
DOC-000331,SIN-00091,Informe perito,True,True,2025-02-14,False,Sin observaciones,
DOC-000332,SIN-00091,Denuncia policial,True,True,2025-02-13,False,Sin observaciones,
DOC-000342,SIN-00094,Factura taller,True,True,2024-08-03,False,Sin observaciones,
DOC-000343,SIN-00094,Foto evidencia,True,True,2024-08-01,False,Sin observaciones,
DOC-000344,SIN-00094,Informe perito,True,True,2024-08-02,False,Sin observaciones,
DOC-000345,SIN-00094,Cedula asegurado,True,True,2024-07-31,False,Sin observaciones,
DOC-000346,SIN-00094,Denuncia policial,True,True,2024-07-29,False,Sin observaciones,
DOC-000347,SIN-00095,Factura taller,True,True,2025-02-16,False,Sin observaciones,
DOC-000348,SIN-00095,Foto evidencia,True,True,2025-02-17,False,Sin observaciones,
DOC-000349,SIN-00095,Cedula asegurado,True,True,2025-02-19,False,Sin observaciones,
DOC-000350,SIN-00095,Informe perito,True,True,2025-02-19,False,Sin observaciones,
DOC-000356,SIN-00097,Foto evidencia,False,False,2024-07-16,True,Fecha previa al evento detectada,
DOC-000357,SIN-00097,Denuncia policial,False,False,2024-07-13,True,Fecha previa al evento detectada,
DOC-000358,SIN-00098,Foto evidencia,True,True,2025-07-31,False,Sin observaciones,
DOC-000359,SIN-00098,Cedula asegurado,True,True,2025-08-03,False,Sin observaciones,
DOC-000360,SIN-00098,Denuncia policial,True,True,2025-07-31,False,Sin observaciones,
DOC-000361,SIN-00098,Factura taller,True,True,2025-07-30,False,Sin observaciones,
DOC-000362,SIN-00099,Denuncia policial,True,True,2025-06-13,False,Sin observaciones,
DOC-000363,SIN-00099,Informe perito,True,True,2025-06-15,False,Sin observaciones,
DOC-000364,SIN-00100,Denuncia policial,False,True,2025-03-03,False,Sin observaciones,
DOC-000365,SIN-00100,Factura taller,False,True,2025-03-08,False,Sin observaciones,
DOC-000366,SIN-00100,Cedula asegurado,False,True,2025-03-03,False,Sin observaciones,
DOC-000367,SIN-00100,Foto evidencia,False,True,2025-03-03,False,Sin observaciones,
DOC-000368,SIN-00100,Informe perito,False,True,2025-03-03,False,Sin observaciones,
DOC-000369,SIN-00101,Informe perito,True,True,2025-08-27,False,Sin observaciones,
DOC-000370,SIN-00101,Factura taller,True,True,2025-08-24,False,Sin observaciones,
DOC-000371,SIN-00101,Cedula asegurado,True,True,2025-08-27,False,Sin observaciones,
DOC-000372,SIN-00102,Foto evidencia,True,True,2025-04-30,False,Sin observaciones,
DOC-000373,SIN-00102,Denuncia policial,True,True,2025-04-28,False,Sin observaciones,
DOC-000374,SIN-00102,Cedula asegurado,True,True,2025-04-29,False,Sin observaciones,
DOC-000375,SIN-00102,Informe perito,True,True,2025-04-30,False,Sin observaciones,
DOC-000376,SIN-00102,Factura taller,True,True,2025-04-30,False,Sin observaciones,
DOC-000383,SIN-00105,Cedula asegurado,False,True,2024-09-22,False,Sin observaciones,
DOC-000384,SIN-00105,Foto evidencia,False,True,2024-09-21,False,Sin observaciones,
DOC-000385,SIN-00105,Factura taller,False,True,2024-09-21,False,Sin observaciones,
DOC-000386,SIN-00106,Denuncia policial,False,True,2024-11-06,False,Sin observaciones,
DOC-000387,SIN-00106,Cedula asegurado,False,True,2024-11-04,False,Sin observaciones,
DOC-000388,SIN-00106,Foto evidencia,False,True,2024-11-05,False,Sin observaciones,
DOC-000389,SIN-00106,Factura taller,False,True,2024-11-08,False,Sin observaciones,
DOC-000390,SIN-00107,Denuncia policial,False,True,2025-01-07,False,Sin observaciones,
DOC-000391,SIN-00107,Informe perito,False,True,2025-01-06,False,Sin observaciones,
DOC-000392,SIN-00107,Cedula asegurado,False,True,2025-01-06,False,Sin observaciones,
DOC-000393,SIN-00107,Factura taller,False,True,2025-01-10,False,Sin observaciones,
DOC-000394,SIN-00107,Foto evidencia,False,True,2025-01-07,False,Sin observaciones,
DOC-000395,SIN-00108,Factura taller,False,True,2024-08-25,False,Sin observaciones,
DOC-000396,SIN-00108,Foto evidencia,False,True,2024-08-22,False,Sin observaciones,
DOC-000397,SIN-00108,Denuncia policial,False,True,2024-08-23,False,Sin observaciones,
DOC-000404,SIN-00111,Factura taller,True,True,2025-05-15,False,Sin observaciones,
DOC-000405,SIN-00111,Informe perito,True,True,2025-05-15,False,Sin observaciones,
DOC-000406,SIN-00111,Cedula asegurado,True,True,2025-05-17,False,Sin observaciones,
DOC-000407,SIN-00111,Denuncia policial,True,True,2025-05-15,False,Sin observaciones,
DOC-000408,SIN-00111,Foto evidencia,True,True,2025-05-15,False,Sin observaciones,
DOC-000412,SIN-00113,Foto evidencia,False,True,2025-08-26,False,Sin observaciones,
DOC-000413,SIN-00113,Cedula asegurado,False,True,2025-08-27,False,Sin observaciones,
DOC-000414,SIN-00113,Factura taller,False,True,2025-08-24,False,Sin observaciones,
DOC-000415,SIN-00113,Informe perito,False,True,2025-08-25,False,Sin observaciones,
DOC-000416,SIN-00113,Denuncia policial,False,True,2025-08-29,False,Sin observaciones,
DOC-000417,SIN-00114,Informe perito,True,True,2025-03-02,False,Sin observaciones,
DOC-000418,SIN-00114,Denuncia policial,True,True,2025-03-06,False,Sin observaciones,
DOC-000419,SIN-00114,Cedula asegurado,True,True,2025-03-06,False,Sin observaciones,
DOC-000420,SIN-00114,Factura taller,True,True,2025-03-04,False,Sin observaciones,
DOC-000421,SIN-00114,Foto evidencia,True,True,2025-03-07,False,Sin observaciones,
DOC-000424,SIN-00116,Foto evidencia,True,True,2024-11-23,False,Sin observaciones,
DOC-000425,SIN-00116,Denuncia policial,True,True,2024-11-22,False,Sin observaciones,
DOC-000426,SIN-00116,Cedula asegurado,True,True,2024-11-19,False,Sin observaciones,
DOC-000427,SIN-00116,Factura taller,True,True,2024-11-23,False,Sin observaciones,
DOC-000428,SIN-00117,Factura taller,False,True,2025-06-19,False,Sin observaciones,
DOC-000429,SIN-00117,Informe perito,False,False,2025-06-16,True,Fecha previa al evento detectada,
DOC-000430,SIN-00117,Denuncia policial,False,True,2025-06-17,False,Sin observaciones,
DOC-000436,SIN-00119,Informe perito,False,True,2025-08-05,False,Sin observaciones,
DOC-000437,SIN-00119,Foto evidencia,False,True,2025-08-01,False,Sin observaciones,
DOC-000438,SIN-00119,Factura taller,False,False,2025-08-02,True,Fecha previa al evento detectada,
DOC-000439,SIN-00119,Cedula asegurado,False,False,2025-08-04,True,Fecha previa al evento detectada,
DOC-000440,SIN-00119,Denuncia policial,False,True,2025-08-06,False,Sin observaciones,
DOC-000441,SIN-00120,Cedula asegurado,True,True,2025-03-26,False,Sin observaciones,
DOC-000442,SIN-00120,Foto evidencia,True,True,2025-03-21,False,Sin observaciones,
DOC-000443,SIN-00120,Informe perito,True,True,2025-03-24,False,Sin observaciones,
DOC-000444,SIN-00120,Factura taller,True,True,2025-03-26,False,Sin observaciones,
DOC-000445,SIN-00120,Denuncia policial,True,True,2025-03-21,False,Sin observaciones,
DOC-000454,SIN-00123,Informe perito,True,True,2025-03-22,False,Sin observaciones,
DOC-000455,SIN-00123,Foto evidencia,True,True,2025-03-22,False,Sin observaciones,
DOC-000472,SIN-00130,Factura taller,True,True,2025-01-07,False,Sin observaciones,
DOC-000473,SIN-00130,Foto evidencia,True,True,2025-01-05,False,Sin observaciones,
DOC-000474,SIN-00130,Denuncia policial,True,True,2025-01-05,False,Sin observaciones,
DOC-000475,SIN-00130,Informe perito,True,True,2025-01-06,False,Sin observaciones,
DOC-000476,SIN-00130,Cedula asegurado,True,True,2025-01-03,False,Sin observaciones,
DOC-000483,SIN-00133,Informe perito,True,True,2025-03-01,False,Sin observaciones,
DOC-000484,SIN-00133,Denuncia policial,True,True,2025-03-05,False,Sin observaciones,
DOC-000485,SIN-00133,Foto evidencia,True,True,2025-03-06,False,Sin observaciones,
DOC-000486,SIN-00133,Cedula asegurado,True,True,2025-03-02,False,Sin observaciones,
DOC-000487,SIN-00133,Factura taller,True,True,2025-03-04,False,Sin observaciones,
DOC-000492,SIN-00135,Cedula asegurado,True,True,2025-05-17,False,Sin observaciones,
DOC-000493,SIN-00135,Informe perito,True,True,2025-05-13,False,Sin observaciones,
DOC-000494,SIN-00135,Factura taller,True,True,2025-05-14,False,Sin observaciones,
DOC-000501,SIN-00138,Foto evidencia,False,False,2025-07-17,True,Fecha previa al evento detectada,
DOC-000502,SIN-00138,Denuncia policial,False,True,2025-07-18,False,Sin observaciones,
DOC-000503,SIN-00138,Cedula asegurado,False,True,2025-07-19,False,Sin observaciones,
DOC-000504,SIN-00139,Foto evidencia,True,True,2025-01-13,False,Sin observaciones,
DOC-000505,SIN-00139,Factura taller,True,True,2025-01-17,False,Sin observaciones,
DOC-000506,SIN-00139,Cedula asegurado,True,True,2025-01-17,False,Sin observaciones,
DOC-000507,SIN-00139,Denuncia policial,True,True,2025-01-15,False,Sin observaciones,
DOC-000508,SIN-00139,Informe perito,True,True,2025-01-14,False,Sin observaciones,
DOC-000523,SIN-00144,Informe perito,True,True,2025-05-30,False,Sin observaciones,
DOC-000524,SIN-00144,Denuncia policial,True,True,2025-06-03,False,Sin observaciones,
DOC-000525,SIN-00144,Foto evidencia,True,True,2025-06-01,False,Sin observaciones,
DOC-000526,SIN-00144,Factura taller,True,True,2025-06-02,False,Sin observaciones,
DOC-000527,SIN-00145,Foto evidencia,True,True,2024-08-13,False,Sin observaciones,
DOC-000528,SIN-00145,Cedula asegurado,True,True,2024-08-13,False,Sin observaciones,
DOC-000529,SIN-00145,Factura taller,True,True,2024-08-12,False,Sin observaciones,
DOC-000530,SIN-00146,Factura taller,False,False,2025-05-15,True,Fecha previa al evento detectada,
DOC-000531,SIN-00146,Informe perito,False,False,2025-05-16,True,Fecha previa al evento detectada,
DOC-000537,SIN-00148,Cedula asegurado,True,True,2025-04-27,False,Sin observaciones,
DOC-000538,SIN-00148,Factura taller,True,True,2025-04-30,False,Sin observaciones,
DOC-000539,SIN-00148,Informe perito,True,True,2025-04-30,False,Sin observaciones,
DOC-000543,SIN-00150,Factura taller,True,True,2025-07-26,False,Sin observaciones,
DOC-000544,SIN-00150,Informe perito,True,True,2025-07-29,False,Sin observaciones,
DOC-000545,SIN-00150,Cedula asegurado,True,True,2025-07-25,False,Sin observaciones,
DOC-000546,SIN-00151,Factura taller,False,True,2024-12-11,False,Sin observaciones,
DOC-000547,SIN-00151,Informe perito,False,True,2024-12-15,False,Sin observaciones,
DOC-000548,SIN-00151,Cedula asegurado,False,True,2024-12-12,False,Sin observaciones,
DOC-000549,SIN-00151,Foto evidencia,False,True,2024-12-14,False,Sin observaciones,
DOC-000550,SIN-00152,Factura taller,True,True,2024-09-12,False,Sin observaciones,
DOC-000551,SIN-00152,Informe perito,True,True,2024-09-12,False,Sin observaciones,
DOC-000552,SIN-00152,Denuncia policial,True,True,2024-09-11,False,Sin observaciones,
DOC-000553,SIN-00152,Cedula asegurado,True,True,2024-09-07,False,Sin observaciones,
DOC-000559,SIN-00154,Cedula asegurado,True,True,2025-08-04,False,Sin observaciones,
DOC-000560,SIN-00154,Informe perito,True,True,2025-08-03,False,Sin observaciones,
DOC-000561,SIN-00154,Foto evidencia,True,True,2025-08-05,False,Sin observaciones,
DOC-000569,SIN-00157,Informe perito,False,True,2025-05-22,False,Sin observaciones,
DOC-000570,SIN-00157,Denuncia policial,False,True,2025-05-23,False,Sin observaciones,
DOC-000571,SIN-00157,Cedula asegurado,False,False,2025-05-25,True,Fecha previa al evento detectada,
DOC-000572,SIN-00157,Factura taller,False,True,2025-05-25,False,Sin observaciones,
DOC-000581,SIN-00160,Denuncia policial,False,True,2025-02-04,False,Sin observaciones,
DOC-000582,SIN-00160,Cedula asegurado,False,True,2025-02-08,False,Sin observaciones,
DOC-000583,SIN-00161,Factura taller,True,True,2025-07-26,False,Sin observaciones,
DOC-000584,SIN-00161,Informe perito,True,True,2025-07-27,False,Sin observaciones,
DOC-000585,SIN-00161,Cedula asegurado,True,True,2025-07-23,False,Sin observaciones,
DOC-000586,SIN-00161,Foto evidencia,True,True,2025-07-22,False,Sin observaciones,
DOC-000587,SIN-00161,Denuncia policial,True,True,2025-07-25,False,Sin observaciones,
DOC-000588,SIN-00162,Foto evidencia,False,True,2024-11-14,False,Sin observaciones,
DOC-000589,SIN-00162,Factura taller,False,False,2024-11-14,True,Fecha previa al evento detectada,
DOC-000590,SIN-00162,Cedula asegurado,False,True,2024-11-19,False,Sin observaciones,
DOC-000591,SIN-00162,Informe perito,False,False,2024-11-19,True,Fecha previa al evento detectada,
DOC-000592,SIN-00162,Denuncia policial,False,False,2024-11-17,True,Fecha previa al evento detectada,
DOC-000596,SIN-00164,Factura taller,True,True,2025-06-02,False,Sin observaciones,
DOC-000597,SIN-00164,Foto evidencia,True,True,2025-06-02,False,Sin observaciones,
DOC-000598,SIN-00164,Cedula asegurado,True,True,2025-05-29,False,Sin observaciones,
