id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,id_proveedor,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,ciudad,suma_asegurada,etiqueta_fraude_simulada,score,nivel_riesgo,alertas,anomalia_score,es_anomalia
SIN-00037,POL-00250,ASG-00157,Vida,Responsabilidad Civil,2025-03-28,2025-04-01,14884.76,13316.86,12289.65,Cierre Sin Consecuencia,Sur,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,True,Clinica del Sur,P006,25,340,4,2,Ambato,21605.92,0,11,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts),0.1035476851151012,0
SIN-00038,POL-00197,ASG-00111,Vehiculos,Robo,2024-08-22,2024-08-26,10537.05,11509.5,9967.32,Cierre Sin Consecuencia,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Central,P005,16,349,4,2,Cuenca,17442.48,0,19,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),0.0917312804155212,0
SIN-00039,POL-00503,ASG-00053,Hogar,Robo,2024-11-17,2024-11-19,25850.71,25155.49,22789.25,Pago Total,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Taller Premium,P008,26,339,2,2,Guayaquil,30832.89,0,12,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts),0.07850022057827244,0
SIN-00040,POL-00577,ASG-00156,Generales,Dano parcial,2025-12-22,2025-12-27,11813.57,10533.15,9335.62,Liquidado,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,False,Grua Rapida,P007,27,338,5,3,Ambato,16168.59,0,29,AMARILLO,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts),0.08470174624453253,0
SIN-00041,POL-00213,ASG-00321,Generales,Robo,2025-12-07,2025-12-21,32878.84,27005.16,0.0,Pago Total,Centro,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller El Veloz,P001,8,357,14,6,Quito,34719.27,1,43,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.0611171773852226,1
SIN-00042,POL-00203,ASG-00218,Salud,Choque,2024-08-29,2024-09-04,12353.11,11619.45,9193.63,Negativa,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Taller Central,P005,20,345,6,2,Guayaquil,15116.43,0,15,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts),0.07756570245442385,0
SIN-00043,POL-00513,ASG-00277,Hogar,Robo,2025-01-30,2025-02-14,8478.48,7979.52,0.0,Cierre Sin Consecuencia,Este,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Grua Rapida,P007,4,361,15,4,Cuenca,8619.88,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 98% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.057960998664772445,1
SIN-00044,POL-00285,ASG-00093,Vida,Atencion medica,2024-08-23,2024-08-26,17123.13,17877.74,15464.76,Negativa,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,False,Clinica San Marcos,P002,14,351,3,3,Manta,24614.82,0,26,AMARILLO,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts),0.09149514760918392,0
SIN-00045,POL-00323,ASG-00130,Generales,Robo,2026-02-27,2026-03-09,46822.11,45172.37,0.0,Pago Parcial,Este,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,9,356,10,5,Manta,48658.31,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 96% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.05945546421460379,1
SIN-00046,POL-00497,ASG-00063,Hogar,Dano parcial,2026-01-31,2026-01-31,5039.85,5463.79,4886.34,Pago Total,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,268,97,0,1,Guayaquil,33351.0,0,0,VERDE,Sin alertas detectadas,0.03758125273642221,0
SIN-00047,POL-00299,ASG-00261,Salud,Robo,2024-12-01,2024-12-15,22531.74,24340.46,0.0,Liquidado,Centro,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Taller El Veloz,P001,4,361,14,5,Ambato,23697.07,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 95% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.019541928046398205,1
SIN-00048,POL-00003,ASG-00145,Salud,Incendio,2025-02-19,2025-02-21,12736.04,11928.62,9501.54,Pago Total,Sur,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Premium,P008,91,274,2,1,Ambato,42686.42,0,0,VERDE,Sin alertas detectadas,0.08276762651801434,0
SIN-00049,POL-00586,ASG-00197,Vida,Incendio,2026-05-03,2026-05-04,10888.49,10351.55,9078.87,Reserva,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Premium,P008,66,299,1,0,Loja,39899.5,0,0,VERDE,Sin alertas detectadas,0.06505590556236107,0
SIN-00050,POL-00103,ASG-00270,Vehiculos,Incendio,2025-01-19,2025-01-26,3546.93,3852.82,3421.46,Negativa,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,False,Taller Norte,P003,23,342,7,3,Cuenca,5690.64,0,19,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts),0.0036718284593786343,0
SIN-00051,POL-00037,ASG-00317,Vehiculos,Incendio,2025-11-29,2025-11-29,8339.05,6786.3,6371.27,Pago Parcial,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,331,34,0,0,Guayaquil,33402.25,0,0,VERDE,Sin alertas detectadas,0.008452716424061202,0
SIN-00052,POL-00384,ASG-00221,Salud,Robo,2025-10-31,2025-11-03,9505.15,10207.09,7583.21,Negativa,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,355,10,3,1,Guayaquil,28902.48,0,8,VERDE,Robo reportado con mas de 48 horas de demora (+8 pts),0.020718847534008322,0
SIN-00053,POL-00471,ASG-00131,Generales,Robo,2026-10-12,2026-10-14,22472.88,22632.3,18944.38,Pago Parcial,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,226,139,2,1,Guayaquil,45450.88,0,0,VERDE,Sin alertas detectadas,0.00410984268840886,0
SIN-00054,POL-00394,ASG-00248,Hogar,Choque,2025-01-12,2025-01-18,18856.45,19473.48,14975.8,Pago Parcial,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Central,P005,11,354,6,3,Loja,22161.39,0,15,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts),0.09776452351926679,0
SIN-00055,POL-00195,ASG-00318,Vehiculos,Robo,2024-11-12,2024-11-17,37361.28,38267.08,0.0,Pago Total,Sur,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Grua Rapida,P007,8,357,5,5,Loja,39000.98,1,46,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 96% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.003953276121331117,1
SIN-00056,POL-00136,ASG-00277,Salud,Atencion medica,2027-02-20,2027-02-22,8283.91,7791.01,5629.7,Pago Total,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,278,87,2,0,Manta,21463.59,0,0,VERDE,Sin alertas detectadas,0.06004685511844632,0
SIN-00057,POL-00571,ASG-00188,Vida,Atencion medica,2025-04-24,2025-04-26,7123.77,7141.23,6008.94,Liquidado,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,197,168,2,0,Loja,22755.86,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.07416760514201193,0
SIN-00058,POL-00336,ASG-00313,Vida,Robo,2025-11-16,2025-11-25,7841.58,7340.45,0.0,Cierre Sin Consecuencia,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,1,364,9,6,Quito,7844.77,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 100% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.05129874744683138,1
SIN-00059,POL-00430,ASG-00301,Vida,Dano parcial,2025-04-11,2025-04-13,773.66,721.84,711.13,Pago Parcial,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,220,145,2,0,Manta,11953.53,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.04778828362810206,0
